Date,MLD_median
01-Jan-1999,49.1072845458984
01-Feb-1999,118.281379699707
01-Mar-1999,42.7588157653809
01-Apr-1999,20.8100566864014
01-May-1999,12.864333152771
01-Jun-1999,12.7274141311646
01-Jul-1999,14.5196027755737
01-Aug-1999,15.009165763855
01-Sep-1999,23.8147773742676
01-Oct-1999,30.2780475616455
01-Nov-1999,36.1377296447754
01-Dec-1999,43.2114906311035
01-Jan-2000,68.2646331787109
01-Feb-2000,163.706100463867
01-Mar-2000,34.3510360717773
01-Apr-2000,20.0455074310303
01-May-2000,13.0740919113159
01-Jun-2000,12.8482313156128
01-Jul-2000,16.8305912017822
01-Aug-2000,13.6147727966309
01-Sep-2000,19.9899597167969
01-Oct-2000,21.3105773925781
01-Nov-2000,32.0730400085449
01-Dec-2000,28.6835441589355
01-Jan-2001,39.172233581543
01-Feb-2001,32.0817642211914
01-Mar-2001,28.259391784668
01-Apr-2001,36.4283409118652
01-May-2001,12.8252582550049
01-Jun-2001,13.2241811752319
01-Jul-2001,14.1138601303101
01-Aug-2001,14.0166158676147
01-Sep-2001,25.264196395874
01-Oct-2001,17.0319576263428
01-Nov-2001,26.0810775756836
01-Dec-2001,36.4439697265625
01-Jan-2002,32.9274215698242
01-Feb-2002,31.0246200561523
01-Mar-2002,21.0434970855713
01-Apr-2002,19.4863452911377
01-May-2002,17.9643936157227
01-Jun-2002,13.9085674285889
01-Jul-2002,15.0392446517944
01-Aug-2002,17.236572265625
01-Sep-2002,18.1765804290771
01-Oct-2002,22.3248081207275
01-Nov-2002,31.4549255371094
01-Dec-2002,24.3466243743896
01-Jan-2003,42.3437385559082
01-Feb-2003,50.4962921142578
01-Mar-2003,25.2117366790771
01-Apr-2003,16.37548828125
01-May-2003,14.0834121704102
01-Jun-2003,11.9068918228149
01-Jul-2003,12.788519859314
01-Aug-2003,13.9416980743408
01-Sep-2003,24.7979717254639
01-Oct-2003,32.4890556335449
01-Nov-2003,28.6417140960693
01-Dec-2003,44.4201164245605
01-Jan-2004,36.5624694824219
01-Feb-2004,54.2798767089844
01-Mar-2004,58.1227607727051
01-Apr-2004,18.4329891204834
01-May-2004,13.8932199478149
01-Jun-2004,12.4589653015137
01-Jul-2004,13.3447761535645
01-Aug-2004,15.2928085327148
01-Sep-2004,21.439603805542
01-Oct-2004,22.3721790313721
01-Nov-2004,27.3598918914795
01-Dec-2004,37.2727241516113
01-Jan-2005,51.2595748901367
01-Feb-2005,642.046752929688
01-Mar-2005,99.0618362426758
01-Apr-2005,20.4502506256104
01-May-2005,14.2975015640259
01-Jun-2005,12.0038728713989
01-Jul-2005,14.1459970474243
01-Aug-2005,19.5097579956055
01-Sep-2005,13.7674217224121
01-Oct-2005,15.0662908554077
01-Nov-2005,25.2015895843506
01-Dec-2005,58.2455902099609
01-Jan-2006,84.2528533935547
01-Feb-2006,457.550933837891
01-Mar-2006,271.424499511719
01-Apr-2006,19.3271560668945
01-May-2006,15.58811378479
01-Jun-2006,13.8911828994751
01-Jul-2006,11.9051647186279
01-Aug-2006,19.2148838043213
01-Sep-2006,16.0594825744629
01-Oct-2006,15.9528255462646
01-Nov-2006,23.5350093841553
01-Dec-2006,28.4312782287598
01-Jan-2007,38.0442428588867
01-Feb-2007,31.4038925170898
01-Mar-2007,24.6107311248779
01-Apr-2007,12.8788719177246
01-May-2007,13.8569011688232
01-Jun-2007,13.1928186416626
01-Jul-2007,14.9046936035156
01-Aug-2007,18.5872745513916
01-Sep-2007,20.8236045837402
01-Oct-2007,18.2380638122559
01-Nov-2007,32.1830673217773
01-Dec-2007,44.0569000244141
01-Jan-2008,35.8818435668945
01-Feb-2008,42.1591148376465
01-Mar-2008,43.7651977539062
01-Apr-2008,25.576379776001
01-May-2008,12.1838083267212
01-Jun-2008,14.2788028717041
01-Jul-2008,13.5343227386475
01-Aug-2008,15.5516195297241
01-Sep-2008,20.298978805542
01-Oct-2008,20.9748268127441
01-Nov-2008,27.1957931518555
01-Dec-2008,47.4693412780762
01-Jan-2009,67.9631576538086
01-Feb-2009,78.1639404296875
01-Mar-2009,25.0227603912354
01-Apr-2009,14.0470247268677
01-May-2009,12.6083822250366
01-Jun-2009,13.0728998184204
01-Jul-2009,14.2075891494751
01-Aug-2009,14.3852376937866
01-Sep-2009,23.5707416534424
01-Oct-2009,27.948823928833
01-Nov-2009,26.755090713501
01-Dec-2009,49.2093353271484
01-Jan-2010,56.1082649230957
01-Feb-2010,126.095359802246
01-Mar-2010,115.552200317383
01-Apr-2010,17.4082908630371
01-May-2010,14.1734666824341
01-Jun-2010,13.3385515213013
01-Jul-2010,13.0511474609375
01-Aug-2010,15.4116020202637
01-Sep-2010,23.0311603546143
01-Oct-2010,23.624382019043
01-Nov-2010,26.7981338500977
01-Dec-2010,36.423267364502
01-Jan-2011,48.082592010498
01-Feb-2011,221.77995300293
01-Mar-2011,26.1014041900635
01-Apr-2011,13.4135160446167
01-May-2011,12.2684478759766
01-Jun-2011,13.8270101547241
01-Jul-2011,18.2335529327393
01-Aug-2011,14.8152236938477
01-Sep-2011,19.8861026763916
01-Oct-2011,20.3445072174072
01-Nov-2011,23.3289470672607
01-Dec-2011,46.8864974975586
01-Jan-2012,64.2200241088867
01-Feb-2012,120.257530212402
01-Mar-2012,61.2874069213867
01-Apr-2012,22.7469367980957
01-May-2012,14.4602661132812
01-Jun-2012,13.0242595672607
01-Jul-2012,14.0689210891724
01-Aug-2012,13.8192005157471
01-Sep-2012,24.7422008514404
01-Oct-2012,22.7503433227539
01-Nov-2012,23.6959495544434
