Date,HF
01-Jan-1999,-136.14535516692
01-Feb-1999,-223.045217272465
01-Mar-1999,-11.9728895776636
01-Apr-1999,54.1005468675004
01-May-1999,137.105475989993
01-Jun-1999,144.179241403966
01-Jul-1999,153.552440996657
01-Aug-1999,86.0325957083747
01-Sep-1999,-28.9249586044953
01-Oct-1999,-91.1108290486615
01-Nov-1999,-228.365576702615
01-Dec-1999,-187.86893784752
01-Jan-2000,-199.151831671962
01-Feb-2000,-90.8343847523565
01-Mar-2000,-9.62492846627148
01-Apr-2000,79.895004762819
01-May-2000,143.82084814407
01-Jun-2000,152.828412306557
01-Jul-2000,108.151629759819
01-Aug-2000,111.494209606841
01-Sep-2000,0.696970261603467
01-Oct-2000,-77.3181425411895
01-Nov-2000,-137.690727738667
01-Dec-2000,-104.24567293625
01-Jan-2001,-145.327969743985
01-Feb-2001,-124.393405892673
01-Mar-2001,34.6441320480606
01-Apr-2001,15.8825978919167
01-May-2001,130.290173694632
01-Jun-2001,141.732446306369
01-Jul-2001,142.22516531124
01-Aug-2001,117.40605777964
01-Sep-2001,-76.3839091966193
01-Oct-2001,21.3147896119237
01-Nov-2001,-295.521466779799
01-Dec-2001,-238.451131579105
01-Jan-2002,-105.308914876841
01-Feb-2002,-91.652374310845
01-Mar-2002,32.4772834092773
01-Apr-2002,55.6926153143322
01-May-2002,137.000682189018
01-Jun-2002,155.372094945781
01-Jul-2002,121.975725473213
01-Aug-2002,66.5688393976828
01-Sep-2002,4.53930436097269
01-Oct-2002,16.2792829024431
01-Nov-2002,-93.509927688339
01-Dec-2002,-110.93899876499
01-Jan-2003,-173.940197921205
01-Feb-2003,-162.497227659748
01-Mar-2003,30.1858871726773
01-Apr-2003,77.3803708053041
01-May-2003,119.243606769295
01-Jun-2003,194.21600970609
01-Jul-2003,117.558143543611
01-Aug-2003,109.08631943124
01-Sep-2003,-78.2790542595328
01-Oct-2003,-212.914673111164
01-Nov-2003,-105.817275842331
01-Dec-2003,-227.807737065624
01-Jan-2004,-202.060518491922
01-Feb-2004,-125.32985694467
01-Mar-2004,-47.5579669714425
01-Apr-2004,81.8936080211502
01-May-2004,114.966849646181
01-Jun-2004,172.928944463315
01-Jul-2004,131.543432715259
01-Aug-2004,84.9369828308913
01-Sep-2004,-26.1771831422875
01-Oct-2004,-26.0795566123859
01-Nov-2004,-187.011765694573
01-Dec-2004,-160.879173783589
01-Jan-2005,-197.964979290737
01-Feb-2005,-243.364570862855
01-Mar-2005,-42.8760061786846
01-Apr-2005,54.385337057997
01-May-2005,140.948223856762
01-Jun-2005,180.179675327582
01-Jul-2005,120.240858672923
01-Aug-2005,95.9468055393385
01-Sep-2005,17.0246119803216
01-Oct-2005,-13.4561274609685
01-Nov-2005,-200.589103424707
01-Dec-2005,-262.612871397195
01-Jan-2006,-155.036583941916
01-Feb-2006,-106.566100122347
01-Mar-2006,-49.6153248172176
01-Apr-2006,76.3179340470716
01-May-2006,112.863996134363
01-Jun-2006,179.692450193466
01-Jul-2006,184.380683221078
01-Aug-2006,41.0900510892357
01-Sep-2006,50.5193033020077
01-Oct-2006,-14.7232433814586
01-Nov-2006,-136.088596221405
01-Dec-2006,-185.098199797488
01-Jan-2007,-157.6196561067
01-Feb-2007,-59.2653538247813
01-Mar-2007,-54.4365283266583
01-Apr-2007,106.509455632172
01-May-2007,103.398687423966
01-Jun-2007,152.061156966961
01-Jul-2007,137.461624635866
01-Aug-2007,54.2548781110006
01-Sep-2007,-3.49773958449328
01-Oct-2007,-52.2980486996232
01-Nov-2007,-216.68317192669
01-Dec-2007,-189.212189355284
01-Jan-2008,-93.2172396106396
01-Feb-2008,-59.9108111520345
01-Mar-2008,-79.6466085077008
01-Apr-2008,86.1708319507159
01-May-2008,125.201228006576
01-Jun-2008,174.960198126578
01-Jul-2008,158.399770639344
01-Aug-2008,99.3093077618143
01-Sep-2008,-46.9400234922489
01-Oct-2008,-75.9984580907118
01-Nov-2008,-176.537276702477
01-Dec-2008,-195.431455269653
01-Jan-2009,-162.60494340345
01-Feb-2009,-147.504126262124
01-Mar-2009,-46.4151136546144
01-Apr-2009,87.7539709051525
01-May-2009,169.839499316729
01-Jun-2009,181.696708953223
01-Jul-2009,149.947564108836
01-Aug-2009,105.790996991394
01-Sep-2009,-7.40243754973934
01-Oct-2009,-65.618025259099
01-Nov-2009,-105.142381455362
01-Dec-2009,-194.468228807071
01-Jan-2010,-210.229027270369
01-Feb-2010,-156.245794141225
01-Mar-2010,-43.7275448422351
01-Apr-2010,85.0608375707962
01-May-2010,97.6047712877703
01-Jun-2010,181.388844827172
01-Jul-2010,170.129187917439
01-Aug-2010,103.717484054133
01-Sep-2010,-12.8807319887546
01-Oct-2010,-127.230814135142
01-Nov-2010,-171.333801846423
01-Dec-2010,-208.152186402752
01-Jan-2011,-142.137035953976
01-Feb-2011,-87.2558873830986
01-Mar-2011,-7.53258514169794
01-Apr-2011,119.560842171509
01-May-2011,144.458716077029
01-Jun-2011,133.218660192363
01-Jul-2011,117.810411370319
01-Aug-2011,137.988782843029
01-Sep-2011,20.7789723065546
01-Oct-2011,-133.359029510296
01-Nov-2011,-115.89328193304
01-Dec-2011,-245.646033360963
01-Jan-2012,-169.386769372259
01-Feb-2012,-239.891405390431
01-Mar-2012,20.8827266161293
01-Apr-2012,39.6742857047876
01-May-2012,149.886709029373
01-Jun-2012,180.61478918757
01-Jul-2012,131.932757040503
01-Aug-2012,87.735376909685
01-Sep-2012,5.66975987186067
01-Oct-2012,-65.6458876020291
01-Nov-2012,-95.0892000540894
