Date,MLD
01-Jan-1999,194.035789158033
01-Feb-1999,364.014701511549
01-Mar-1999,233.95696623429
01-Apr-1999,24.2251187200132
01-May-1999,11.9956368570742
01-Jun-1999,12.4592303400454
01-Jul-1999,11.8989435278851
01-Aug-1999,11.8988293772158
01-Sep-1999,12.5321230266405
01-Oct-1999,18.4028300409732
01-Nov-1999,28.2531559156335
01-Dec-1999,54.6755036063816
01-Jan-2000,177.880942303201
01-Feb-2000,348.141239332116
01-Mar-2000,226.735998402471
01-Apr-2000,21.8032439687978
01-May-2000,11.8976409746253
01-Jun-2000,12.0075508200604
01-Jul-2000,12.4865481335184
01-Aug-2000,12.0134599934454
01-Sep-2000,12.9160903433095
01-Oct-2000,16.0436994718469
01-Nov-2000,23.7031831326692
01-Dec-2000,41.0518710924231
01-Jan-2001,81.7337225209112
01-Feb-2001,118.526478643003
01-Mar-2001,36.2427764560865
01-Apr-2001,30.0690378935441
01-May-2001,11.9028798393581
01-Jun-2001,12.3363700534986
01-Jul-2001,12.0420580324919
01-Aug-2001,11.9179488472317
01-Sep-2001,15.7483093012934
01-Oct-2001,15.8128104002579
01-Nov-2001,33.3469595701798
01-Dec-2001,126.157230543054
01-Jan-2002,254.130585380222
01-Feb-2002,223.375034498132
01-Mar-2002,79.5881208336872
01-Apr-2002,21.3962702543839
01-May-2002,12.0783955947213
01-Jun-2002,11.9463403950567
01-Jul-2002,11.9578237118928
01-Aug-2002,12.1630614736806
01-Sep-2002,12.7242433299189
01-Oct-2002,15.0992430396702
01-Nov-2002,22.9872366863748
01-Dec-2002,43.1948698292608
01-Jan-2003,80.2724970941958
01-Feb-2003,210.294441554857
01-Mar-2003,155.785141654637
01-Apr-2003,37.3631913558297
01-May-2003,11.9965136569479
01-Jun-2003,11.8944407338681
01-Jul-2003,11.9269497498222
01-Aug-2003,12.0967624913091
01-Sep-2003,15.064330018085
01-Oct-2003,25.4415918433148
01-Nov-2003,35.0415117015009
01-Dec-2003,79.5051077137823
01-Jan-2004,199.211928657863
01-Feb-2004,321.386221180791
01-Mar-2004,163.551448987878
01-Apr-2004,20.1084527554719
01-May-2004,13.2104698264081
01-Jun-2004,11.8918972844663
01-Jul-2004,11.8937370051508
01-Aug-2004,12.0734145952308
01-Sep-2004,14.3650205860967
01-Oct-2004,17.0023523413617
01-Nov-2004,25.6642228002134
01-Dec-2004,51.3682171365489
01-Jan-2005,171.232124660326
01-Feb-2005,338.651754628057
01-Mar-2005,198.706990781038
01-Apr-2005,27.7913732114046
01-May-2005,12.3560030564018
01-Jun-2005,12.3530741152556
01-Jul-2005,11.9568096243817
01-Aug-2005,11.9960186585136
01-Sep-2005,12.032672425975
01-Oct-2005,17.1007904384447
01-Nov-2005,24.4946546969206
01-Dec-2005,90.2010000477666
01-Jan-2006,247.864370594854
01-Feb-2006,511.85169253142
01-Mar-2006,336.61691085152
01-Apr-2006,17.8766617982284
01-May-2006,12.0504451005355
01-Jun-2006,12.0871507395869
01-Jul-2006,11.8884064632913
01-Aug-2006,12.0236856211787
01-Sep-2006,13.5451240539551
01-Oct-2006,16.6878552644149
01-Nov-2006,31.2901248931885
01-Dec-2006,40.4582867829696
01-Jan-2007,85.9931574282439
01-Feb-2007,160.810418502144
01-Mar-2007,41.754973370096
01-Apr-2007,14.0420274319856
01-May-2007,11.9079479549242
01-Jun-2007,11.8883299205614
01-Jul-2007,11.9474039077759
01-Aug-2007,11.9899803244549
01-Sep-2007,13.003441437431
01-Oct-2007,18.4688553188158
01-Nov-2007,34.9878574868907
01-Dec-2007,104.409883250361
01-Jan-2008,151.338442263396
01-Feb-2008,246.194900512695
01-Mar-2008,47.2763401529063
01-Apr-2008,20.0959547291631
01-May-2008,12.1280878730442
01-Jun-2008,11.8878032020901
01-Jul-2008,11.9114809865537
01-Aug-2008,11.8879931491354
01-Sep-2008,13.1382106698078
01-Oct-2008,13.6562222605166
01-Nov-2008,23.3519282962965
01-Dec-2008,49.0732493193253
01-Jan-2009,96.278911093007
01-Feb-2009,164.858320816703
01-Mar-2009,180.276876034944
01-Apr-2009,15.0409053719562
01-May-2009,12.1886547752049
01-Jun-2009,11.8863225605177
01-Jul-2009,11.8915527592535
01-Aug-2009,11.88677062159
01-Sep-2009,11.9054317059724
01-Oct-2009,15.759205279143
01-Nov-2009,24.9284164594567
01-Dec-2009,38.9976466634999
01-Jan-2010,154.347201140031
01-Feb-2010,197.205147784689
01-Mar-2010,75.9388543833857
01-Apr-2010,16.7870887673419
01-May-2010,12.9380097596542
01-Jun-2010,11.9398332678753
01-Jul-2010,11.8854733757351
01-Aug-2010,11.9029807629793
01-Sep-2010,13.7453697038733
01-Oct-2010,17.7189832770306
01-Nov-2010,25.749512133391
01-Dec-2010,38.5168138586956
01-Jan-2011,127.445383818253
01-Feb-2011,147.156655353049
01-Mar-2011,100.250913205354
01-Apr-2011,16.3883729188339
01-May-2011,12.9164313440738
01-Jun-2011,11.9853528893512
01-Jul-2011,12.0788609048595
01-Aug-2011,12.0564649416053
01-Sep-2011,12.5679735515429
01-Oct-2011,21.72737768422
01-Nov-2011,29.9965639529021
01-Dec-2011,60.9939427583114
01-Jan-2012,175.647192250127
01-Feb-2012,388.234591276749
01-Mar-2012,76.3528517018194
01-Apr-2012,19.5456853120223
01-May-2012,12.5550621281499
01-Jun-2012,11.8827255912449
01-Jul-2012,11.8892021179199
01-Aug-2012,11.8962633298791
01-Sep-2012,12.4026245863541
01-Oct-2012,15.8419492970342
01-Nov-2012,23.1646729344907
01-Dec-2012,61.0239742113196
