Date,SST_Adriatico,SST_Chipre,SST_Lyon
01-Jan-1998,13.8274536342949,18.5789711074638,13.3382171701018
01-Feb-1998,13.6907642671636,17.6755029988338,13.1871782299651
01-Mar-1998,13.7721958047182,17.2126770297565,13.3512198407513
01-Apr-1998,14.306511582249,18.4403609820017,13.8411329633292
01-May-1998,17.5689971395206,20.2720121414304,17.4033962852658
01-Jun-1998,22.8056923710402,24.2236997262335,19.3717673426338
01-Jul-1998,25.0449071066807,26.9961491325872,21.2530635968799
01-Aug-1998,26.9451508426896,29.0616085516158,22.8721096133229
01-Sep-1998,22.663274091675,28.0746313114419,20.9192945984922
01-Oct-1998,19.755022887058,26.1775192809002,18.0887288722866
01-Nov-1998,16.3777312958797,24.0053737846684,15.5838931582935
01-Dec-1998,14.0651146615433,21.4642781097772,13.3761226297627
01-Jan-1999,13.9897548678039,19.2876690397561,12.9679296231403
01-Feb-1999,13.7002171755395,18.2064438259058,12.781887929918
01-Mar-1999,13.79056405223,17.8537149309406,13.0913505117645
01-Apr-1999,14.8592890398842,18.628528106143,13.7311397883998
01-May-1999,18.4595494049338,21.5867333724319,16.5343255810068
01-Jun-1999,22.7926988348578,24.7762740444458,19.5829993067233
01-Jul-1999,24.4924962531537,27.0007001109503,22.1382578800559
01-Aug-1999,25.8314034645368,28.2120249487218,24.4836885246698
01-Sep-1999,24.0337117341735,27.7075768413452,24.5523510475015
01-Oct-1999,21.2467177983144,26.0003066809831,21.0964298284511
01-Nov-1999,17.8875909112545,23.4750820144346,16.7321416706399
01-Dec-1999,15.3943550929172,20.5825329771311,13.707151673486
01-Jan-2000,14.3582156858528,18.7237985648546,13.0313758486978
01-Feb-2000,14.1491472720783,17.8301854933636,13.0610482526616
01-Mar-2000,14.1019932350198,17.2115612056817,13.2608598281511
01-Apr-2000,15.2464616997436,18.1479630199315,14.1404292529357
01-May-2000,20.028950339384,20.7337988347098,18.0907537260425
01-Jun-2000,23.2207394531759,24.5943211399255,21.0316795862336
01-Jul-2000,23.7926553251809,26.9616642794575,21.0982173449174
01-Aug-2000,25.4494219980054,27.4436385393038,23.3186191062666
01-Sep-2000,22.8558770421253,27.0185731633015,22.3768423241981
01-Oct-2000,20.440650468686,25.0555681286924,19.5385744173654
01-Nov-2000,18.2442215588696,22.7639167487052,16.1733785252345
01-Dec-2000,16.4196378865494,20.3311640255519,14.8270941121395
01-Jan-2001,14.7292578657769,18.5299755582399,13.7174531701986
01-Feb-2001,14.7757810612732,18.047673548489,13.5244745883407
01-Mar-2001,15.2147944566841,18.3350765891564,13.928272093935
01-Apr-2001,15.717054487009,19.1375955001199,14.3343044922669
01-May-2001,18.5586872143523,21.3312641953166,17.0535607667695
01-Jun-2001,20.9963489211774,24.1122103473774,19.2459203668892
01-Jul-2001,24.4825856108946,26.3571258245579,22.4578456865327
01-Aug-2001,26.0189631902614,27.9752243999981,24.1865028587977
01-Sep-2001,22.4345880395381,27.0946387202348,20.635640608731
01-Oct-2001,21.2190931451923,25.5707568290884,20.8445932112731
01-Nov-2001,17.7898106733662,23.001062634448,17.5002098795931
01-Dec-2001,14.6185495522201,19.5928725578256,14.166469716417
01-Jan-2002,14.3183852987833,18.07042367019,13.2888928082607
01-Feb-2002,14.4159057230567,17.6595700747736,13.1558133601566
01-Mar-2002,14.4885912180684,17.6494948870289,13.4821948012741
01-Apr-2002,15.3492437842422,17.9399953422162,14.3465559539814
01-May-2002,18.6134578156211,21.1262018730303,16.5661347908222
01-Jun-2002,22.3704873946182,24.5140330530774,20.4467916850769
01-Jul-2002,25.3374573637464,27.4749472632488,21.6027919422037
01-Aug-2002,25.4982265329257,28.1440358574437,22.1902547309028
01-Sep-2002,23.8697218948103,27.5274641953249,21.552278989802
01-Oct-2002,20.1491182729862,26.1431564007818,18.2700492264209
01-Nov-2002,17.3036001579181,23.7833719429085,15.9760218044996
01-Dec-2002,15.5864442674281,20.5443576585313,14.10163572428
01-Jan-2003,14.7993100069518,18.6162563123811,13.3102705167612
01-Feb-2003,14.2326518688227,17.4323995218774,12.9064566405839
01-Mar-2003,14.2701234251676,16.8261777309162,13.3702750303839
01-Apr-2003,14.8495466578305,17.4912566634189,14.5084721296995
01-May-2003,19.0754557277323,21.3621800533514,16.9741757173743
01-Jun-2003,25.0485482765871,24.4272269608348,23.1115245689852
01-Jul-2003,25.9225373256487,27.5105642761244,24.4699839173549
01-Aug-2003,27.0034195394482,28.4487726927376,26.6928057998535
01-Sep-2003,23.1943008572756,27.2738630929601,23.0813579029929
01-Oct-2003,19.5867784309848,25.5068008055872,19.2822430999955
01-Nov-2003,16.8908420877349,22.7374264445882,16.9848073570002
01-Dec-2003,15.6463102298108,19.9194787519373,14.7477090922198
01-Jan-2004,14.3712048570558,17.6345842854986,13.1821919006166
01-Feb-2004,14.1826299344305,16.6534456209171,12.9945862658431
01-Mar-2004,14.1077610673008,16.7948844490672,12.8886942662942
01-Apr-2004,15.4279206061217,17.9543240584241,13.9528795495254
01-May-2004,17.1799891842267,20.1070926506568,16.0750748602777
01-Jun-2004,21.4741540813195,23.4075695505696,19.3788043795136
01-Jul-2004,25.4524372557345,26.9831297422965,21.8813195722732
01-Aug-2004,25.1453577734999,27.4380628815337,23.5771434060437
01-Sep-2004,23.3859065778313,27.0876082494778,22.7276171701588
01-Oct-2004,21.2074787063937,25.8430958119208,20.2632673836234
01-Nov-2004,17.9145308921852,23.5954845971542,16.3559194568269
01-Dec-2004,15.5402089007554,19.7510541287695,14.4977930442311
