Date,NH4
01-Jan-1999,24.1223592230454
01-Feb-1999,24.3802901972895
01-Mar-1999,11.2162278782238
01-Apr-1999,1.69172671613957
01-May-1999,1.84136515054778
01-Jun-1999,2.06532152061877
01-Jul-1999,2.27810992176825
01-Aug-1999,2.50608846556999
01-Sep-1999,2.8344840145865
01-Oct-1999,3.49182653898307
01-Nov-1999,5.81288334126529
01-Dec-1999,10.0834578270969
01-Jan-2000,20.3518754182597
01-Feb-2000,22.0720453243482
01-Mar-2000,13.0718062225538
01-Apr-2000,1.47799431029045
01-May-2000,1.95830560248831
01-Jun-2000,1.94508446652899
01-Jul-2000,1.91924359251859
01-Aug-2000,1.91365382204885
01-Sep-2000,1.99861370433461
01-Oct-2000,3.53327285253954
01-Nov-2000,4.85131562462908
01-Dec-2000,7.06929222585655
01-Jan-2001,13.0677214196548
01-Feb-2001,12.4848762020292
01-Mar-2001,3.20611356369592
01-Apr-2001,3.6460696557765
01-May-2001,1.5487299990277
01-Jun-2001,2.0016983950091
01-Jul-2001,2.12703485050691
01-Aug-2001,2.27807333770948
01-Sep-2001,2.9720190556153
01-Oct-2001,3.41846919766528
01-Nov-2001,7.14663925283982
01-Dec-2001,18.1467141219279
01-Jan-2002,19.0357462087639
01-Feb-2002,14.3272855215864
01-Mar-2002,5.41915803087559
01-Apr-2002,2.02623916237722
01-May-2002,2.05478163929325
01-Jun-2002,2.4858335991622
01-Jul-2002,2.55899647950184
01-Aug-2002,2.7435316671967
01-Sep-2002,2.97876744967675
01-Oct-2002,3.47430540874542
01-Nov-2002,5.762271519235
01-Dec-2002,10.0764814827282
01-Jan-2003,12.4343684332173
01-Feb-2003,18.639761001225
01-Mar-2003,10.278200339894
01-Apr-2003,2.09711116246084
01-May-2003,2.10850759009599
01-Jun-2003,2.27880764196042
01-Jul-2003,2.41724505396229
01-Aug-2003,2.43979017960695
01-Sep-2003,3.05975820188937
01-Oct-2003,5.22527075190789
01-Nov-2003,7.98199467037035
01-Dec-2003,12.9231985981757
01-Jan-2004,18.0179498996659
01-Feb-2004,20.7239830352572
01-Mar-2004,10.8948398192409
01-Apr-2004,1.3260066476264
01-May-2004,2.10425727782042
01-Jun-2004,2.17061105099591
01-Jul-2004,2.3979505517266
01-Aug-2004,2.33935758765978
01-Sep-2004,3.06525047635844
01-Oct-2004,3.28177279964266
01-Nov-2004,5.83613567672699
01-Dec-2004,10.3047954706335
01-Jan-2005,16.8524714552838
01-Feb-2005,22.5746438889635
01-Mar-2005,11.3267177706179
01-Apr-2005,2.530685084375
01-May-2005,1.75803896396056
01-Jun-2005,2.1298770296715
01-Jul-2005,2.36033189956379
01-Aug-2005,2.37881690852727
01-Sep-2005,2.26062934719056
01-Oct-2005,3.32355114829399
01-Nov-2005,5.87316025104447
01-Dec-2005,15.2711707188678
01-Jan-2006,23.9511510298657
01-Feb-2006,24.7748971155038
01-Mar-2006,17.5328696151025
01-Apr-2006,1.41986435581102
01-May-2006,1.75452932444486
01-Jun-2006,1.77252284882097
01-Jul-2006,1.80086600003035
01-Aug-2006,1.64586676274364
01-Sep-2006,1.9384861508377
01-Oct-2006,3.17385239422086
01-Nov-2006,5.58678955145975
01-Dec-2006,7.78460553135325
01-Jan-2007,12.436057303734
01-Feb-2007,14.6901486692692
01-Mar-2007,3.83714523711223
01-Apr-2007,1.63703007354096
01-May-2007,1.6639999865072
01-Jun-2007,1.54333471073935
01-Jul-2007,1.49728506096738
01-Aug-2007,1.37440558573003
01-Sep-2007,1.47406031845115
01-Oct-2007,2.93040837176704
01-Nov-2007,5.9189221840131
01-Dec-2007,15.1969340365866
01-Jan-2008,13.8097168258999
01-Feb-2008,18.7936081396261
01-Mar-2008,2.82779509182504
01-Apr-2008,1.9892326042115
01-May-2008,1.75627251057757
01-Jun-2008,2.02362374755234
01-Jul-2008,2.08020176741445
01-Aug-2008,2.1757951027791
01-Sep-2008,2.28085732554259
01-Oct-2008,2.58287860777067
01-Nov-2008,4.75192248161602
01-Dec-2008,9.89685756133008
01-Jan-2009,12.8210572169232
01-Feb-2009,16.8650972343716
01-Mar-2009,13.8232778127014
01-Apr-2009,1.33632049565259
01-May-2009,2.23867689903546
01-Jun-2009,2.18781013828021
01-Jul-2009,2.21612204299143
01-Aug-2009,2.17819946344662
01-Sep-2009,2.18143118275955
01-Oct-2009,3.20857746092227
01-Nov-2009,4.9093153118616
01-Dec-2009,8.17207467414645
01-Jan-2010,15.9968472149061
01-Feb-2010,13.4647479132701
01-Mar-2010,7.96872852536529
01-Apr-2010,1.65506174677445
01-May-2010,2.08493024299267
01-Jun-2010,2.1127744752899
01-Jul-2010,2.4259204365048
01-Aug-2010,2.35497535358776
01-Sep-2010,2.60852859378332
01-Oct-2010,3.48043324919086
01-Nov-2010,4.99910870465365
01-Dec-2010,9.34682864445471
01-Jan-2011,14.9247688700559
01-Feb-2011,14.277241827471
01-Mar-2011,9.48680847906784
01-Apr-2011,1.63409539244392
01-May-2011,1.90142792392625
01-Jun-2011,1.92246827070892
01-Jul-2011,2.11266591544208
01-Aug-2011,2.13669386023118
01-Sep-2011,2.03204009796791
01-Oct-2011,3.96886348300301
01-Nov-2011,6.5521447046001
01-Dec-2011,11.655100040285
01-Jan-2012,23.3225791916074
01-Feb-2012,23.1969816976856
01-Mar-2012,7.0014753336963
01-Apr-2012,1.73379054606668
01-May-2012,1.7431248520674
01-Jun-2012,1.91258047880391
01-Jul-2012,2.04215234141105
01-Aug-2012,2.05848802761598
01-Sep-2012,1.99831891154112
01-Oct-2012,2.78067199797498
