Date,HF
01-Jan-1999,-137.660956431754
01-Feb-1999,-172.181359995966
01-Mar-1999,-14.958523456287
01-Apr-1999,70.1936338748856
01-May-1999,140.651084402333
01-Jun-1999,105.316414648365
01-Jul-1999,142.474822545711
01-Aug-1999,94.6756610794972
01-Sep-1999,22.3136167328348
01-Oct-1999,-73.8482183901218
01-Nov-1999,-163.514630525008
01-Dec-1999,-192.693296349567
01-Jan-2000,-228.733388576583
01-Feb-2000,-130.409005568433
01-Mar-2000,-45.1005743954021
01-Apr-2000,95.302129270531
01-May-2000,165.820914950767
01-Jun-2000,134.889503448848
01-Jul-2000,118.604843365816
01-Aug-2000,106.393514067759
01-Sep-2000,-9.79652752001538
01-Oct-2000,-21.2212223621461
01-Nov-2000,-99.0431424167316
01-Dec-2000,-127.098840871818
01-Jan-2001,-160.155312971635
01-Feb-2001,-132.404750311328
01-Mar-2001,43.0572603097546
01-Apr-2001,36.5997279095555
01-May-2001,158.226384370223
01-Jun-2001,169.483593786187
01-Jul-2001,136.809920299666
01-Aug-2001,110.284958021443
01-Sep-2001,-46.5306631444471
01-Oct-2001,-11.3404374895857
01-Nov-2001,-222.685160550204
01-Dec-2001,-282.923078876239
01-Jan-2002,-202.485181152585
01-Feb-2002,-60.151981436688
01-Mar-2002,-6.44426610970892
01-Apr-2002,77.4909685157505
01-May-2002,149.313996265999
01-Jun-2002,178.319302645597
01-Jul-2002,130.237553140391
01-Aug-2002,89.6303156977115
01-Sep-2002,-23.352589275526
01-Oct-2002,-35.7047387865692
01-Nov-2002,-90.2320024543129
01-Dec-2002,-178.803771731411
01-Jan-2003,-168.820167963684
01-Feb-2003,-223.123186103911
01-Mar-2003,-47.4893999137426
01-Apr-2003,62.4910566985843
01-May-2003,160.411744852782
01-Jun-2003,194.304272919304
01-Jul-2003,149.077716359979
01-Aug-2003,108.776210815068
01-Sep-2003,-54.8249992928486
01-Oct-2003,-107.901019748492
01-Nov-2003,-96.6821124261547
01-Dec-2003,-227.457166196801
01-Jan-2004,-264.085590106225
01-Feb-2004,-156.500438735419
01-Mar-2004,-45.4566719635673
01-Apr-2004,95.2007106584994
01-May-2004,128.310665130615
01-Jun-2004,189.558072357781
01-Jul-2004,124.889433050344
01-Aug-2004,85.8793225344933
01-Sep-2004,5.33957057577105
01-Oct-2004,-21.386039211816
01-Nov-2004,-170.805015744899
01-Dec-2004,-144.821204686825
01-Jan-2005,-204.447319694187
01-Feb-2005,-191.443800583187
01-Mar-2005,-38.82675911975
01-Apr-2005,79.7181051804614
01-May-2005,173.265562487214
01-Jun-2005,177.464146730928
01-Jul-2005,164.558959176889
01-Aug-2005,58.0575891351511
01-Sep-2005,25.1206982635227
01-Oct-2005,-54.1057371659712
01-Nov-2005,-169.47479795373
01-Dec-2005,-190.035102120501
01-Jan-2006,-208.467827114663
01-Feb-2006,-149.40818379519
01-Mar-2006,-67.6818345337517
01-Apr-2006,81.8780719169044
01-May-2006,169.930153978672
01-Jun-2006,161.800435364011
01-Jul-2006,166.849158969321
01-Aug-2006,56.1418525107764
01-Sep-2006,25.6158279581032
01-Oct-2006,-40.0893850628095
01-Nov-2006,-135.27508572062
01-Dec-2006,-119.243709579287
01-Jan-2007,-113.477438659065
01-Feb-2007,-90.8440100929954
01-Mar-2007,0.278689877433783
01-Apr-2007,130.268822997926
01-May-2007,149.1682101163
01-Jun-2007,172.430474051374
01-Jul-2007,154.552520812265
01-Aug-2007,98.5023269954877
01-Sep-2007,-24.3246016684817
01-Oct-2007,-87.7390645294793
01-Nov-2007,-147.094139430834
01-Dec-2007,-171.872654639685
01-Jan-2008,-132.826951716728
01-Feb-2008,-115.782803395991
01-Mar-2008,-3.65492390384051
01-Apr-2008,79.7370006877914
01-May-2008,159.938355999973
01-Jun-2008,176.313590189214
01-Jul-2008,150.316276912161
01-Aug-2008,107.102339733259
01-Sep-2008,-33.3139715383175
01-Oct-2008,-4.6492615956445
01-Nov-2008,-120.846760610347
01-Dec-2008,-206.8845612296
01-Jan-2009,-141.007614437299
01-Feb-2009,-183.593919203687
01-Mar-2009,-67.0355182994496
01-Apr-2009,93.0462374781431
01-May-2009,171.012337786407
01-Jun-2009,155.768847770842
01-Jul-2009,176.629868126669
01-Aug-2009,130.045823063304
01-Sep-2009,22.3891874108272
01-Oct-2009,-87.5261130954908
01-Nov-2009,-50.6268670756826
01-Dec-2009,-143.083294050496
