Date,HF
01-Jan-1999,-187.385373986286
01-Feb-1999,-139.527540123981
01-Mar-1999,-14.9145499312359
01-Apr-1999,87.0972790925399
01-May-1999,162.512512207031
01-Jun-1999,157.401990807575
01-Jul-1999,127.682909426482
01-Aug-1999,90.6025679215141
01-Sep-1999,14.490806641786
01-Oct-1999,-104.524189492931
01-Nov-1999,-200.68410326087
01-Dec-1999,-198.827264536982
01-Jan-2000,-291.083155092986
01-Feb-2000,-141.18081067956
01-Mar-2000,-45.3771843288256
01-Apr-2000,89.2993263576342
01-May-2000,166.313892530358
01-Jun-2000,161.020428201427
01-Jul-2000,126.916088270104
01-Aug-2000,70.884320963984
01-Sep-2000,-18.1971975824107
01-Oct-2000,-103.324102982231
01-Nov-2000,-128.065027319867
01-Dec-2000,-181.980152295983
01-Jan-2001,-121.615306024966
01-Feb-2001,-104.786042254904
01-Mar-2001,66.0995095294455
01-Apr-2001,76.8292631066364
01-May-2001,158.184354035751
01-Jun-2001,162.277351711107
01-Jul-2001,159.981293388035
01-Aug-2001,106.161619435186
01-Sep-2001,28.7388432544211
01-Oct-2001,-29.0919871122941
01-Nov-2001,-155.302491561226
01-Dec-2001,-203.447822239088
01-Jan-2002,-194.945792820143
01-Feb-2002,-48.3809212394383
01-Mar-2002,15.1973031914752
01-Apr-2002,83.9543330980384
01-May-2002,161.666811072308
01-Jun-2002,167.544767296833
01-Jul-2002,143.678848930027
01-Aug-2002,77.2857002590014
01-Sep-2002,4.93731134919369
01-Oct-2002,-88.8652436629586
01-Nov-2002,-194.364465464716
01-Dec-2002,-275.997571862262
01-Jan-2003,-116.262276690939
01-Feb-2003,-216.838236933169
01-Mar-2003,-46.2424900220788
01-Apr-2003,89.3292223059613
01-May-2003,152.362835427989
01-Jun-2003,167.873286371646
01-Jul-2003,127.114450869353
01-Aug-2003,86.0376699696416
01-Sep-2003,-1.12932577340499
01-Oct-2003,-56.0484391917353
01-Nov-2003,-147.471487294073
01-Dec-2003,-212.81602079972
01-Jan-2004,-187.748483409052
01-Feb-2004,-112.317075646442
01-Mar-2004,29.9513259555983
01-Apr-2004,113.844904360564
01-May-2004,146.941619209621
01-Jun-2004,179.500984523607
01-Jul-2004,155.191313370414
01-Aug-2004,96.9467959196671
01-Sep-2004,44.4709874028745
01-Oct-2004,-27.7065559884776
01-Nov-2004,-211.259593797767
01-Dec-2004,-185.354499485182
01-Jan-2005,-188.682769775391
01-Feb-2005,-125.91111622686
01-Mar-2005,-0.021360712206882
01-Apr-2005,66.1693028989045
01-May-2005,148.666044152301
01-Jun-2005,161.213290670644
01-Jul-2005,154.094297326129
01-Aug-2005,69.0192585820737
01-Sep-2005,0.0873232172883075
01-Oct-2005,-94.7021991895593
01-Nov-2005,-145.464928668478
01-Dec-2005,-135.775411191194
01-Jan-2006,-159.49409219493
01-Feb-2006,-109.475382265837
01-Mar-2006,8.39953026564225
01-Apr-2006,112.25854193646
01-May-2006,168.549215565557
01-Jun-2006,149.033662547236
01-Jul-2006,111.802053036897
01-Aug-2006,70.4723918748939
01-Sep-2006,-23.0453286170959
01-Oct-2006,-114.005655703337
01-Nov-2006,-225.831546949304
01-Dec-2006,-255.968002982762
01-Jan-2007,-209.450268952743
01-Feb-2007,-97.0877668961235
01-Mar-2007,5.42702089962752
01-Apr-2007,83.7697385705036
01-May-2007,150.319662342901
01-Jun-2007,162.007186889648
01-Jul-2007,121.495249872622
01-Aug-2007,58.8524116847826
01-Sep-2007,-22.8917281109354
01-Oct-2007,-73.9614410400391
01-Nov-2007,-201.269113291865
01-Dec-2007,-231.781930011252
01-Jan-2008,-297.579010009766
01-Feb-2008,-157.98973547894
01-Mar-2008,40.0604629516602
01-Apr-2008,82.4982034434443
01-May-2008,111.564683001974
01-Jun-2008,133.083107658055
01-Jul-2008,106.922621685526
01-Aug-2008,69.1655576954717
01-Sep-2008,-5.57856806983119
01-Oct-2008,-75.3585913284965
01-Nov-2008,-128.514991096828
01-Dec-2008,-244.752765821374
01-Jan-2009,-201.272796630859
01-Feb-2009,-147.362583326257
01-Mar-2009,-65.4799476291822
01-Apr-2009,81.864964692489
01-May-2009,124.367495329484
01-Jun-2009,166.670832094939
01-Jul-2009,137.007401839547
01-Aug-2009,66.2176536891771
01-Sep-2009,-33.8818322057309
01-Oct-2009,-53.2457247195036
01-Nov-2009,-203.615544194761
01-Dec-2009,-199.594664863918
01-Jan-2010,-160.606258226478
01-Feb-2010,-105.011816605278
01-Mar-2010,0.757057326643363
01-Apr-2010,80.4318648628567
01-May-2010,145.545501045559
01-Jun-2010,154.84813391644
01-Jul-2010,132.667076442553
01-Aug-2010,102.323139024817
01-Sep-2010,-4.89803971674131
01-Oct-2010,-90.0679176993992
01-Nov-2010,-93.8064979884935
01-Dec-2010,-220.569722714631
01-Jan-2011,-184.568655262823
01-Feb-2011,-162.414386915124
01-Mar-2011,-41.2087695909583
01-Apr-2011,62.223751399828
01-May-2011,136.507568359375
01-Jun-2011,142.88515107528
01-Jul-2011,141.105406387993
01-Aug-2011,77.7184212726095
01-Sep-2011,20.9952822146208
01-Oct-2011,-135.480703934379
01-Nov-2011,-208.722030639648
01-Dec-2011,-215.121135545814
01-Jan-2012,-293.298066512398
01-Feb-2012,-234.754131814708
01-Mar-2012,-55.9745926235033
01-Apr-2012,117.213822737984
01-May-2012,163.19129280422
01-Jun-2012,179.809793223505
01-Jul-2012,134.254712975543
01-Aug-2012,77.4303097932235
01-Sep-2012,-12.2581634728805
01-Oct-2012,-66.5850199823794
01-Nov-2012,-147.241016222083
