Date,NO3
01-Jan-1999,377.475238543725
01-Feb-1999,779.828279879725
01-Mar-1999,474.066877674208
01-Apr-1999,28.1565379267154
01-May-1999,10.5548276203894
01-Jun-1999,10.568553408144
01-Jul-1999,10.637906115988
01-Aug-1999,12.0744358673397
01-Sep-1999,15.1940326200644
01-Oct-1999,17.0050543230984
01-Nov-1999,28.4044225376114
01-Dec-1999,63.5670782021383
01-Jan-2000,326.472838692043
01-Feb-2000,656.913371270824
01-Mar-2000,537.817696341413
01-Apr-2000,31.071672982378
01-May-2000,10.0603537220258
01-Jun-2000,9.25952493531902
01-Jul-2000,7.50042958127651
01-Aug-2000,6.3758125079008
01-Sep-2000,6.01114901817834
01-Oct-2000,14.4423549900884
01-Nov-2000,23.4872118833037
01-Dec-2000,40.7003187511278
01-Jan-2001,129.427380512826
01-Feb-2001,197.754051419586
01-Mar-2001,58.748312200011
01-Apr-2001,29.6878135892242
01-May-2001,10.1388215849051
01-Jun-2001,9.88080037912361
01-Jul-2001,8.44148679401563
01-Aug-2001,8.41851950351429
01-Sep-2001,10.4455463330265
01-Oct-2001,13.452308381499
01-Nov-2001,32.4343263151146
01-Dec-2001,198.964321965757
01-Jan-2002,447.876983883824
01-Feb-2002,401.281080404289
01-Mar-2002,153.985826861717
01-Apr-2002,32.2686237817696
01-May-2002,14.5357919040876
01-Jun-2002,17.0283605251388
01-Jul-2002,15.3229319040954
01-Aug-2002,15.4193051982774
01-Sep-2002,18.8210551163896
01-Oct-2002,19.8105785893828
01-Nov-2002,32.2074423477113
01-Dec-2002,68.3848045032486
01-Jan-2003,143.694268328399
01-Feb-2003,412.723008136975
01-Mar-2003,273.044787199601
01-Apr-2003,54.169928109693
01-May-2003,12.7216981899126
01-Jun-2003,15.2485439296768
01-Jul-2003,14.4013579296972
01-Aug-2003,12.4232385450672
01-Sep-2003,12.9633254872952
01-Oct-2003,24.8938336051971
01-Nov-2003,42.684548811479
01-Dec-2003,105.356677300374
01-Jan-2004,318.739497098056
01-Feb-2004,632.775879388741
01-Mar-2004,393.476879134951
01-Apr-2004,21.8887637575624
01-May-2004,12.2622894524586
01-Jun-2004,10.2603054706287
01-Jul-2004,10.3612168504315
01-Aug-2004,9.66405777686198
01-Sep-2004,11.6525856440246
01-Oct-2004,13.3653326486882
01-Nov-2004,30.6123088339101
01-Dec-2004,73.1455316656663
01-Jan-2005,278.897975288361
01-Feb-2005,795.113467672597
01-Mar-2005,436.605386847093
01-Apr-2005,25.0677345788526
01-May-2005,10.1691182856503
01-Jun-2005,10.4646224542098
01-Jul-2005,11.9100048966087
01-Aug-2005,10.0917496869687
01-Sep-2005,9.35805743862046
01-Oct-2005,13.9451630294559
01-Nov-2005,25.257216012525
01-Dec-2005,112.450183559312
01-Jan-2006,630.479672066308
01-Feb-2006,863.82981378005
01-Mar-2006,531.539242650209
01-Apr-2006,17.1637988919797
01-May-2006,8.11520851270955
01-Jun-2006,6.25434605500444
01-Jul-2006,4.9922869921673
01-Aug-2006,3.63178481132145
01-Sep-2006,3.97053269859359
01-Oct-2006,9.93583679199219
01-Nov-2006,18.7237267060713
01-Dec-2006,33.4273955341384
01-Jan-2007,125.504853282521
01-Feb-2007,362.511333963145
01-Mar-2007,80.5172034327692
01-Apr-2007,12.9585600219696
01-May-2007,6.37666405990661
01-Jun-2007,4.64777128687018
01-Jul-2007,3.31944414089791
01-Aug-2007,2.45100365749932
01-Sep-2007,2.90473666798927
01-Oct-2007,6.83656537108742
01-Nov-2007,20.9653105961947
01-Dec-2007,145.959078732215
01-Jan-2008,283.075336320598
01-Feb-2008,475.408106596574
01-Mar-2008,82.6362668893083
01-Apr-2008,17.5695020200707
01-May-2008,8.92341218352789
01-Jun-2008,9.82695978809251
01-Jul-2008,7.83355564279519
01-Aug-2008,7.83252031152899
01-Sep-2008,8.28163468319437
01-Oct-2008,9.21917397419926
01-Nov-2008,18.8038065386384
01-Dec-2008,54.3689719038047
01-Jan-2009,124.135544976698
01-Feb-2009,247.922440283854
01-Mar-2009,387.520002613897
01-Apr-2009,17.3485592966494
01-May-2009,11.9703084904215
01-Jun-2009,10.4776583000605
01-Jul-2009,8.92929952889092
01-Aug-2009,6.88479779454559
01-Sep-2009,7.06992541094542
01-Oct-2009,13.0727285528371
01-Nov-2009,25.5038067361583
01-Dec-2009,51.9845186241059
01-Jan-2010,278.26789090002
01-Feb-2010,390.739977568977
01-Mar-2010,200.827714852194
01-Apr-2010,17.2302719142597
01-May-2010,11.2915676346881
01-Jun-2010,10.2627620697021
01-Jul-2010,10.2893623532985
01-Aug-2010,8.96033182068776
01-Sep-2010,9.67651574036821
01-Oct-2010,13.5307158613393
01-Nov-2010,23.4106046088599
01-Dec-2010,67.8796258029259
01-Jan-2011,220.672415797418
01-Feb-2011,290.542359544354
01-Mar-2011,200.736129821054
01-Apr-2011,16.7844058119732
01-May-2011,10.6642993222112
01-Jun-2011,9.23077847552394
01-Jul-2011,8.71401698598749
01-Aug-2011,6.70724624984349
01-Sep-2011,6.36132506984967
01-Oct-2011,14.6443209610438
01-Nov-2011,27.899332080434
01-Dec-2011,61.8693917768275
01-Jan-2012,317.242680937876
01-Feb-2012,692.263585629671
01-Mar-2012,237.853447397707
01-Apr-2012,18.2659342279547
01-May-2012,8.84754682435349
01-Jun-2012,8.88442084157891
01-Jul-2012,8.37245243905561
01-Aug-2012,7.53063706352777
01-Sep-2012,6.00475889797738
01-Oct-2012,9.32268934287573
01-Nov-2012,22.5010935591144
01-Dec-2012,65.2084890146972
01-Jan-2013,343.776289807949
