Date,MLD_mean
01-Jan-1999,50.7390334087869
01-Feb-1999,170.648622927458
01-Mar-1999,43.3748271776282
01-Apr-1999,20.8269071164338
01-May-1999,12.781175489011
01-Jun-1999,12.6986259792162
01-Jul-1999,14.5617357336957
01-Aug-1999,15.0384420311969
01-Sep-1999,23.3294224117113
01-Oct-1999,30.810837952987
01-Nov-1999,36.0872663414997
01-Dec-1999,43.841875490935
01-Jan-2000,75.0802154541016
01-Feb-2000,185.986852231233
01-Mar-2000,35.6717475393544
01-Apr-2000,20.0359250773554
01-May-2000,13.0965290898862
01-Jun-2000,12.8112823652185
01-Jul-2000,16.743126205776
01-Aug-2000,13.9573474137679
01-Sep-2000,20.1403406391973
01-Oct-2000,22.4707565307617
01-Nov-2000,32.8657646179199
01-Dec-2000,28.055596558944
01-Jan-2001,40.8914128179136
01-Feb-2001,41.955401710842
01-Mar-2001,28.093317695286
01-Apr-2001,34.3087022200875
01-May-2001,12.8340563981429
01-Jun-2001,13.9016795780348
01-Jul-2001,14.3319646586543
01-Aug-2001,13.9515721279642
01-Sep-2001,24.762197992076
01-Oct-2001,16.969562696374
01-Nov-2001,27.0918084849482
01-Dec-2001,37.296189100846
01-Jan-2002,33.700089081474
01-Feb-2002,46.7251306616742
01-Mar-2002,21.4028835296631
01-Apr-2002,19.3705675705619
01-May-2002,17.8884492127792
01-Jun-2002,13.9974577530571
01-Jul-2002,15.1060750795447
01-Aug-2002,17.050698073014
01-Sep-2002,18.1627644248631
01-Oct-2002,22.8612744704537
01-Nov-2002,31.5934985616933
01-Dec-2002,24.5914463374926
01-Jan-2003,39.9717207369597
01-Feb-2003,50.9431512252144
01-Mar-2003,25.5634387472401
01-Apr-2003,16.4054946070132
01-May-2003,14.1377070468405
01-Jun-2003,11.9537435199903
01-Jul-2003,12.8338280968044
01-Aug-2003,13.9032983365266
01-Sep-2003,24.4958179308021
01-Oct-2003,32.0639384725819
01-Nov-2003,26.5287908471149
01-Dec-2003,41.9668333634086
01-Jan-2004,38.0938044009001
01-Feb-2004,55.2884002353834
01-Mar-2004,59.7240156090778
01-Apr-2004,17.9774675369263
01-May-2004,13.9930285578189
01-Jun-2004,12.4768293629522
01-Jul-2004,13.5521146940148
01-Aug-2004,15.1412214610888
01-Sep-2004,21.5936673205832
01-Oct-2004,23.0943801714026
01-Nov-2004,28.5849740401558
01-Dec-2004,37.5316978122877
01-Jan-2005,69.8150429103685
01-Feb-2005,664.70543637483
01-Mar-2005,154.560130243716
01-Apr-2005,30.9533064469047
01-May-2005,14.2579863589743
01-Jun-2005,12.0795994634214
01-Jul-2005,14.2021783745807
01-Aug-2005,19.3697377080503
01-Sep-2005,13.9403425299603
01-Oct-2005,15.22805039779
01-Nov-2005,25.5153124436088
01-Dec-2005,58.0659267591394
01-Jan-2006,91.1654560254968
01-Feb-2006,378.936191061269
01-Mar-2006,245.601202923319
01-Apr-2006,27.2318045160045
01-May-2006,15.7124195513518
01-Jun-2006,13.9851382297018
01-Jul-2006,11.9054587405661
01-Aug-2006,18.2943882734879
01-Sep-2006,16.5952956158182
01-Oct-2006,16.0404007123864
01-Nov-2006,24.980349748031
01-Dec-2006,27.857307019441
01-Jan-2007,38.4262176181959
01-Feb-2007,29.929219784944
01-Mar-2007,24.3236318671185
01-Apr-2007,13.0218010363371
01-May-2007,13.8701732055001
01-Jun-2007,13.2128415729689
01-Jul-2007,15.3304443359375
01-Aug-2007,18.2522197391676
01-Sep-2007,21.0911470496136
01-Oct-2007,18.4899221917857
01-Nov-2007,31.2857619575832
01-Dec-2007,42.136952192887
01-Jan-2008,36.1418160148289
01-Feb-2008,41.9559229975161
01-Mar-2008,42.927399676779
01-Apr-2008,25.1224463089653
01-May-2008,12.1755513315615
01-Jun-2008,14.3411266492761
01-Jul-2008,13.7181035746699
01-Aug-2008,15.4584338561348
01-Sep-2008,21.7057715706203
01-Oct-2008,21.1808425239895
01-Nov-2008,27.6240465744682
01-Dec-2008,63.8265980430271
01-Jan-2009,129.344112810881
01-Feb-2009,116.751369144606
01-Mar-2009,26.5125663591468
01-Apr-2009,14.3418584077255
01-May-2009,12.6461399327154
01-Jun-2009,13.1624972301981
01-Jul-2009,14.3928694103075
01-Aug-2009,14.431715135989
01-Sep-2009,23.8403953054677
01-Oct-2009,27.6708004163659
01-Nov-2009,27.2022977082626
01-Dec-2009,48.655690898066
01-Jan-2010,66.959167978038
01-Feb-2010,136.419708251953
01-Mar-2010,288.79486241548
01-Apr-2010,18.434002586033
01-May-2010,16.514436016912
01-Jun-2010,13.1346462083899
01-Jul-2010,13.0224638399871
01-Aug-2010,15.3036734954171
01-Sep-2010,23.13766073144
01-Oct-2010,23.4625952347465
01-Nov-2010,25.4050217504087
01-Dec-2010,38.9625949030337
01-Jan-2011,64.6524090144945
01-Feb-2011,210.437061641527
01-Mar-2011,25.8025331082551
01-Apr-2011,13.5714057839435
01-May-2011,12.3289897752845
01-Jun-2011,14.0477714538574
01-Jul-2011,18.3229521046514
01-Aug-2011,14.797887802124
01-Sep-2011,19.7936289414116
01-Oct-2011,20.4903318156367
01-Nov-2011,23.5777106077775
01-Dec-2011,46.0447361158288
01-Jan-2012,64.8422836635424
01-Feb-2012,158.138022381326
01-Mar-2012,66.6230656167735
01-Apr-2012,22.7018176369045
01-May-2012,14.4930081160172
01-Jun-2012,12.9527958994326
01-Jul-2012,14.1054675475411
01-Aug-2012,13.7801567989847
01-Sep-2012,24.1929104017175
01-Oct-2012,23.232025395269
01-Nov-2012,24.6520210763682
01-Dec-2012,65.585795858632
