Date,PO4
01-Jan-1999,27.2053113037787
01-Feb-1999,176.336100522422
01-Mar-1999,53.2350879923382
01-Apr-1999,3.92574210743823
01-May-1999,0.537682825371989
01-Jun-1999,0.312418108344754
01-Jul-1999,0.206346096974465
01-Aug-1999,0.155668761376961
01-Sep-1999,0.174866114452566
01-Oct-1999,0.21979386276356
01-Nov-1999,1.37050555390086
01-Dec-1999,9.083148114848
01-Jan-2000,101.931988753083
01-Feb-2000,114.354966051862
01-Mar-2000,22.3352136156735
01-Apr-2000,2.73534548553041
01-May-2000,0.439656357008027
01-Jun-2000,0.230242220998261
01-Jul-2000,0.249349198657984
01-Aug-2000,0.146149576231415
01-Sep-2000,0.146222622005272
01-Oct-2000,0.306477122332739
01-Nov-2000,1.44256943881174
01-Dec-2000,16.5324633907956
01-Jan-2001,22.3897434502333
01-Feb-2001,13.9799006368352
01-Mar-2001,10.1496969709324
01-Apr-2001,2.66701029581924
01-May-2001,0.397754241083881
01-Jun-2001,0.21011275078376
01-Jul-2001,0.145564931721228
01-Aug-2001,0.0931123326935705
01-Sep-2001,0.17929677676501
01-Oct-2001,0.125404585469761
01-Nov-2001,0.474825187137312
01-Dec-2001,3.46274197574825
01-Jan-2002,22.557043872168
01-Feb-2002,21.7953831514023
01-Mar-2002,2.05358956621815
01-Apr-2002,1.19608623364021
01-May-2002,0.409738750674098
01-Jun-2002,0.167204475245088
01-Jul-2002,0.115815118124219
01-Aug-2002,0.126304736448934
01-Sep-2002,0.157724228087242
01-Oct-2002,0.516405860564208
01-Nov-2002,0.851550738279671
01-Dec-2002,2.25715196617159
01-Jan-2003,11.5434104066715
01-Feb-2003,25.7229256972473
01-Mar-2003,45.669471980268
01-Apr-2003,2.37027371087462
01-May-2003,0.344762942065363
01-Jun-2003,0.194931960455186
01-Jul-2003,0.113186029227898
01-Aug-2003,0.0935123667458956
01-Sep-2003,0.140925853219172
01-Oct-2003,0.274840494804436
01-Nov-2003,0.456026229944031
01-Dec-2003,1.652787441342
01-Jan-2004,3.70460211306754
01-Feb-2004,8.99861236060274
01-Mar-2004,18.9399660575593
01-Apr-2004,1.77614573911818
01-May-2004,0.492138523854921
01-Jun-2004,0.179554841694174
01-Jul-2004,0.145132617317211
01-Aug-2004,0.103691643403248
01-Sep-2004,0.137970528003737
01-Oct-2004,0.153501412340058
01-Nov-2004,0.640528000370091
01-Dec-2004,2.99370765257873
01-Jan-2005,66.6106755855178
01-Feb-2005,428.066363199447
01-Mar-2005,226.863178208104
01-Apr-2005,10.465640753564
01-May-2005,0.860387494636168
01-Jun-2005,0.361056367875498
01-Jul-2005,0.278154524208693
01-Aug-2005,0.257755250611918
01-Sep-2005,0.149938467868898
01-Oct-2005,0.241006313655913
01-Nov-2005,0.783524072913907
01-Dec-2005,26.0887585560631
01-Jan-2006,267.286341077664
01-Feb-2006,263.584901523049
01-Mar-2006,112.067714112467
01-Apr-2006,2.48537576018299
01-May-2006,0.800317328796495
01-Jun-2006,0.439471653537624
01-Jul-2006,0.166387519899523
01-Aug-2006,0.182321093089188
01-Sep-2006,0.210113579784089
01-Oct-2006,0.309489767526634
01-Nov-2006,0.72613468270446
01-Dec-2006,1.6373890771307
01-Jan-2007,4.08944553057954
01-Feb-2007,6.53431347750536
01-Mar-2007,3.26271210478474
01-Apr-2007,0.665923832776641
01-May-2007,0.286034375485491
01-Jun-2007,0.179788410888953
01-Jul-2007,0.12941603523121
01-Aug-2007,0.117822198707801
01-Sep-2007,0.153519398154293
01-Oct-2007,0.17806386809606
01-Nov-2007,2.13945236514782
01-Dec-2007,5.83994158274285
01-Jan-2008,6.08723106366249
01-Feb-2008,12.9411033880958
01-Mar-2008,5.18869420395907
01-Apr-2008,1.86667041990392
01-May-2008,0.293441340918802
01-Jun-2008,0.229645051724068
01-Jul-2008,0.115225979012555
01-Aug-2008,0.0919133997988836
01-Sep-2008,0.142653314034069
01-Oct-2008,0.191439915863913
01-Nov-2008,0.700191446254294
01-Dec-2008,30.3421567410287
01-Jan-2009,65.0066449511479
01-Feb-2009,84.3085093669495
01-Mar-2009,8.0147060153615
01-Apr-2009,1.07806378715656
01-May-2009,0.395800973325686
01-Jun-2009,0.185275647838535
01-Jul-2009,0.150379625872651
01-Aug-2009,0.102951599288528
01-Sep-2009,0.120007017623837
01-Oct-2009,0.353589375945255
01-Nov-2009,0.8507228925796
01-Dec-2009,9.77424413134786
01-Jan-2010,100.556887240852
01-Feb-2010,223.661188318509
01-Mar-2010,96.5444197402334
01-Apr-2010,1.53042609231909
01-May-2010,0.830298514357136
01-Jun-2010,0.324219914656731
01-Jul-2010,0.169497702094693
01-Aug-2010,0.169233696644383
01-Sep-2010,0.218705705467379
01-Oct-2010,0.330778154144891
01-Nov-2010,1.67184843807455
01-Dec-2010,50.7319834813729
01-Jan-2011,84.5437781031055
01-Feb-2011,39.9363389565048
01-Mar-2011,10.0017986863232
01-Apr-2011,0.712124173210789
01-May-2011,0.292038836275247
01-Jun-2011,0.193650301806417
01-Jul-2011,0.207347655425901
01-Aug-2011,0.134578751410676
01-Sep-2011,0.135532278630932
01-Oct-2011,0.162287968768965
01-Nov-2011,0.240272763743292
01-Dec-2011,1.80962918769209
01-Jan-2012,12.5324372276241
01-Feb-2012,157.778632538981
01-Mar-2012,18.8915689816322
01-Apr-2012,2.26651482816455
01-May-2012,0.610825236893782
01-Jun-2012,0.22282759822722
01-Jul-2012,0.171747087249233
01-Aug-2012,0.104489436658321
01-Sep-2012,0.12823572830915
01-Oct-2012,0.166404413055833
