Date,SSS
01-Jan-1999,38.4517071813946
01-Feb-1999,38.4708037324872
01-Mar-1999,38.4619007318095
01-Apr-1999,38.4206976203479
01-May-1999,38.4010243755253
01-Jun-1999,38.4169817140535
01-Jul-1999,38.404179148303
01-Aug-1999,38.4172726359079
01-Sep-1999,38.4145020223145
01-Oct-1999,38.4274627147559
01-Nov-1999,38.4339431640394
01-Dec-1999,38.4407162606544
01-Jan-2000,38.4872452749643
01-Feb-2000,38.4858723694035
01-Mar-2000,38.471295051135
01-Apr-2000,38.4455158785372
01-May-2000,38.4301794864259
01-Jun-2000,38.4089306679514
01-Jul-2000,38.4059256358518
01-Aug-2000,38.4271366288408
01-Sep-2000,38.4423385702567
01-Oct-2000,38.4479748876363
01-Nov-2000,38.4465165549809
01-Dec-2000,38.4483334229384
01-Jan-2001,38.4398282257899
01-Feb-2001,38.4303775017818
01-Mar-2001,38.4253728711983
01-Apr-2001,38.4201935621778
01-May-2001,38.4120378977284
01-Jun-2001,38.4105543594883
01-Jul-2001,38.4215103679157
01-Aug-2001,38.4304878559855
01-Sep-2001,38.4403066543062
01-Oct-2001,38.4341060611631
01-Nov-2001,38.4089954778853
01-Dec-2001,38.4151897559592
01-Jan-2002,38.4316947327567
01-Feb-2002,38.4269881622249
01-Mar-2002,38.4158354535914
01-Apr-2002,38.4018116246039
01-May-2002,38.3910143677027
01-Jun-2002,38.3708155686299
01-Jul-2002,38.3870258697515
01-Aug-2002,38.4005583454621
01-Sep-2002,38.414862122522
01-Oct-2002,38.4360970001743
01-Nov-2002,38.4320557480243
01-Dec-2002,38.4287859574519
01-Jan-2003,38.4350930825434
01-Feb-2003,38.4284240611348
01-Mar-2003,38.4432610201217
01-Apr-2003,38.4201213186687
01-May-2003,38.3942222659114
01-Jun-2003,38.4011372256348
01-Jul-2003,38.418304425289
01-Aug-2003,38.424776691937
01-Sep-2003,38.4390732341266
01-Oct-2003,38.4426398378971
01-Nov-2003,38.444530928238
01-Dec-2003,38.4268871448913
01-Jan-2004,38.4178391580966
01-Feb-2004,38.4552196497876
01-Mar-2004,38.4725624246625
01-Apr-2004,38.4541547386378
01-May-2004,38.4234225932047
01-Jun-2004,38.4188518930924
01-Jul-2004,38.4336447852489
01-Aug-2004,38.449559782424
01-Sep-2004,38.4546742895495
01-Oct-2004,38.4635672247032
01-Nov-2004,38.4640688690741
01-Dec-2004,38.4656144178566
01-Jan-2005,38.4751859010125
01-Feb-2005,38.4997153635327
01-Mar-2005,38.4912306208432
01-Apr-2005,38.4701271730472
01-May-2005,38.4814124154083
01-Jun-2005,38.4851960736668
01-Jul-2005,38.4884055407659
01-Aug-2005,38.4898850814753
01-Sep-2005,38.4660460751751
01-Oct-2005,38.4688420248994
01-Nov-2005,38.4582497317784
01-Dec-2005,38.4746859675526
01-Jan-2006,38.4956807467711
01-Feb-2006,38.4876581353482
01-Mar-2006,38.4755127349573
01-Apr-2006,38.4601539529366
01-May-2006,38.4379914862965
01-Jun-2006,38.4700449223477
01-Jul-2006,38.4711481507986
01-Aug-2006,38.4771272303392
01-Sep-2006,38.4783901662579
01-Oct-2006,38.4819359117695
01-Nov-2006,38.4749971080582
01-Dec-2006,38.4733651601615
01-Jan-2007,38.4687010697741
01-Feb-2007,38.4681089837544
01-Mar-2007,38.4414145207886
01-Apr-2007,38.4277346029749
01-May-2007,38.4211230589265
01-Jun-2007,38.4188220810134
01-Jul-2007,38.4153505551368
01-Aug-2007,38.4261231016357
01-Sep-2007,38.4325077538532
01-Oct-2007,38.4411274596662
01-Nov-2007,38.4418301822129
01-Dec-2007,38.4542063739183
01-Jan-2008,38.4404434423969
01-Feb-2008,38.4539995916982
01-Mar-2008,38.4495994051183
01-Apr-2008,38.448395984111
01-May-2008,38.4410943034059
01-Jun-2008,38.4472923180555
01-Jul-2008,38.4524845510807
01-Aug-2008,38.4610933541565
01-Sep-2008,38.4622661672339
01-Oct-2008,38.4578480640131
01-Nov-2008,38.4609039777981
01-Dec-2008,38.4851953706412
01-Jan-2009,38.4726148165612
01-Feb-2009,38.4815992733931
01-Mar-2009,38.4524003452114
01-Apr-2009,38.4516008130412
01-May-2009,38.4413961530075
01-Jun-2009,38.4364794349121
01-Jul-2009,38.4443124291533
01-Aug-2009,38.4511897262304
01-Sep-2009,38.4467624267171
01-Oct-2009,38.4578572475945
01-Nov-2009,38.4659157035674
01-Dec-2009,38.4662925834271
01-Jan-2010,38.474206998575
01-Feb-2010,38.4829429866945
01-Mar-2010,38.4767544024959
01-Apr-2010,38.4526856161332
01-May-2010,38.4337442536175
01-Jun-2010,38.4307427350657
01-Jul-2010,38.4424082598013
01-Aug-2010,38.4541976456683
01-Sep-2010,38.4578021442512
01-Oct-2010,38.4426551851141
01-Nov-2010,38.440329392293
01-Dec-2010,38.4587133079853
01-Jan-2011,38.4595537036571
01-Feb-2011,38.4480362560289
01-Mar-2011,38.4494085487096
01-Apr-2011,38.4392392583127
01-May-2011,38.4124192883027
01-Jun-2011,38.3991245972664
01-Jul-2011,38.4172377400852
01-Aug-2011,38.427541325484
01-Sep-2011,38.4318713850522
01-Oct-2011,38.4488881758379
01-Nov-2011,38.4380473900254
01-Dec-2011,38.4320517969406
01-Jan-2012,38.4539031374351
01-Feb-2012,38.4732296924426
01-Mar-2012,38.4745174055484
01-Apr-2012,38.4527108768221
01-May-2012,38.4488290751702
01-Jun-2012,38.4475178447168
01-Jul-2012,38.4407919698902
01-Aug-2012,38.4485576536195
01-Sep-2012,38.4652560889549
01-Oct-2012,38.4710066406459
