Date,NO3
01-Jan-1999,2.17140851824035
01-Feb-1999,2.50097993005527
01-Mar-1999,2.6472695294889
01-Apr-1999,1.3675194437762
01-May-1999,1.00364886666004
01-Jun-1999,1.00728110539112
01-Jul-1999,1.01129821791008
01-Aug-1999,1.14906013438353
01-Sep-1999,1.33512300905503
01-Oct-1999,1.0823339692018
01-Nov-1999,1.07892203788694
01-Dec-1999,1.29860692772205
01-Jan-2000,1.96409005438002
01-Feb-2000,2.33388191579359
01-Mar-2000,2.44991283203279
01-Apr-2000,1.53387797845114
01-May-2000,0.9595037962137
01-Jun-2000,0.883138423521999
01-Jul-2000,0.712450148017981
01-Aug-2000,0.607462182428997
01-Sep-2000,0.509523188075832
01-Oct-2000,0.814491753014935
01-Nov-2000,1.01727134480188
01-Dec-2000,1.11885770682058
01-Jan-2001,1.57406373973722
01-Feb-2001,1.8174830592352
01-Mar-2001,1.52434994089943
01-Apr-2001,1.13650101381928
01-May-2001,0.96643294706175
01-Jun-2001,0.941315600711838
01-Jul-2001,0.80601852689336
01-Aug-2001,0.801718265312934
01-Sep-2001,0.785013009415112
01-Oct-2001,0.827603018603482
01-Nov-2001,1.00758042106987
01-Dec-2001,1.73073473573315
01-Jan-2002,2.18689138717244
01-Feb-2002,2.15083415800612
01-Mar-2002,1.9248860133297
01-Apr-2002,1.48994230366872
01-May-2002,1.38158524441625
01-Jun-2002,1.6199130643969
01-Jul-2002,1.45719308250035
01-Aug-2002,1.4678756991394
01-Sep-2002,1.70849215210819
01-Oct-2002,1.34543896146435
01-Nov-2002,1.266702388312
01-Dec-2002,1.46151572553811
01-Jan-2003,1.74890656938478
01-Feb-2003,2.04435300426521
01-Mar-2003,2.05583186135955
01-Apr-2003,1.69819416340479
01-May-2003,1.21174616349544
01-Jun-2003,1.47583794438321
01-Jul-2003,1.38235488107553
01-Aug-2003,1.18605211980258
01-Sep-2003,0.968919825330082
01-Oct-2003,1.09588824771296
01-Nov-2003,1.20057978654569
01-Dec-2003,1.50583053013607
01-Jan-2004,1.98327000003263
01-Feb-2004,2.17785923443163
01-Mar-2004,2.1976382484725
01-Apr-2004,1.35092782779039
01-May-2004,1.0269751885977
01-Jun-2004,0.977110551209318
01-Jul-2004,0.988129700408152
01-Aug-2004,0.918936210046173
01-Sep-2004,0.842803134123709
01-Oct-2004,0.855716971595003
01-Nov-2004,1.19730214075179
01-Dec-2004,1.43340464292877
01-Jan-2005,1.94839603024032
01-Feb-2005,2.27293688008245
01-Mar-2005,2.19252909976695
01-Apr-2005,1.0925766005474
01-May-2005,0.966399359585268
01-Jun-2005,0.996746714839194
01-Jul-2005,1.13380940928761
01-Aug-2005,0.959047548266739
01-Sep-2005,0.882539522463311
01-Oct-2005,0.852421842619007
01-Nov-2005,0.929208355230876
01-Dec-2005,1.43644113376278
01-Jan-2006,2.12327800283742
01-Feb-2006,2.23161235091767
01-Mar-2006,2.10678849554661
01-Apr-2006,1.07791522098293
01-May-2006,0.771249922391454
01-Jun-2006,0.597405359879313
01-Jul-2006,0.478954147562208
01-Aug-2006,0.346925563986594
01-Sep-2006,0.313573889949694
01-Oct-2006,0.564568777391769
01-Nov-2006,0.639469036824101
01-Dec-2006,0.856283140039873
01-Jan-2007,1.5820009451235
01-Feb-2007,2.12452270533105
01-Mar-2007,1.66061409384602
01-Apr-2007,0.973938916668747
01-May-2007,0.607265320808991
01-Jun-2007,0.448359118749502
01-Jul-2007,0.318535685863184
01-Aug-2007,0.234152222351123
01-Sep-2007,0.253546575760182
01-Oct-2007,0.377125674146656
01-Nov-2007,0.663971717153599
01-Dec-2007,1.53765838352313
01-Jan-2008,2.04784655779987
01-Feb-2008,2.06870984013536
01-Mar-2008,1.67299259695943
01-Apr-2008,1.00563487378362
01-May-2008,0.849234714244194
01-Jun-2008,0.942089037508833
01-Jul-2008,0.75494026123535
01-Aug-2008,0.755776187506589
01-Sep-2008,0.724340643134805
01-Oct-2008,0.652749338195376
