Date,NH4
01-Jan-1999,0.251721339717446
01-Feb-1999,0.116074545967276
01-Mar-1999,0.152931872875459
01-Apr-1999,0.445812674084543
01-May-1999,0.364078900961659
01-Jun-1999,0.312425608023128
01-Jul-1999,0.231075122744014
01-Aug-1999,0.212969157155122
01-Sep-1999,0.193485095807035
01-Oct-1999,0.205121932847791
01-Nov-1999,0.247669426992278
01-Dec-1999,0.298353464999627
01-Jan-2000,0.196139934902003
01-Feb-2000,0.0928361795024159
01-Mar-2000,0.215587687475264
01-Apr-2000,0.468894750287208
01-May-2000,0.357978329270909
01-Jun-2000,0.248771989948357
01-Jul-2000,0.214692637737338
01-Aug-2000,0.185641988698762
01-Sep-2000,0.180577706755682
01-Oct-2000,0.225657121831897
01-Nov-2000,0.274361734105177
01-Dec-2000,0.267698801261208
01-Jan-2001,0.199697126150715
01-Feb-2001,0.161917222482851
01-Mar-2001,0.182801514015572
01-Apr-2001,0.333275325739267
01-May-2001,0.259602972678253
01-Jun-2001,0.214713387119935
01-Jul-2001,0.170589154053576
01-Aug-2001,0.140967684522243
01-Sep-2001,0.170685144913101
01-Oct-2001,0.168522986512538
01-Nov-2001,0.203421236083422
01-Dec-2001,0.285724447079287
01-Jan-2002,0.238281863855398
01-Feb-2002,0.150526376582359
01-Mar-2002,0.257355935204955
01-Apr-2002,0.33374142083622
01-May-2002,0.251728002430994
01-Jun-2002,0.181127478248042
01-Jul-2002,0.143912881298229
01-Aug-2002,0.147223148176319
01-Sep-2002,0.171946102209528
01-Oct-2002,0.218345351768258
01-Nov-2002,0.245753243244348
01-Dec-2002,0.26918358422724
01-Jan-2003,0.213060999453148
01-Feb-2003,0.137826798635593
01-Mar-2003,0.191286466433896
01-Apr-2003,0.321540123364047
01-May-2003,0.272669027779526
01-Jun-2003,0.195310842804963
01-Jul-2003,0.145991797746167
01-Aug-2003,0.143544124891229
01-Sep-2003,0.144725402872819
01-Oct-2003,0.171961404397011
01-Nov-2003,0.194486587085677
01-Dec-2003,0.222792803486109
01-Jan-2004,0.214844078108618
01-Feb-2004,0.168416473481958
01-Mar-2004,0.14219210827106
01-Apr-2004,0.315666041643717
01-May-2004,0.308576290226667
01-Jun-2004,0.218180366836972
01-Jul-2004,0.171826727912722
01-Aug-2004,0.154091887284016
01-Sep-2004,0.155342182445759
01-Oct-2004,0.174419708581689
01-Nov-2004,0.210958645976215
01-Dec-2004,0.223805658162845
01-Jan-2005,0.18552994859546
01-Feb-2005,0.0528880371169317
01-Mar-2005,0.0883563887975394
01-Apr-2005,0.350562728572004
01-May-2005,0.404252393422864
01-Jun-2005,0.309083832887711
01-Jul-2005,0.221046002717964
01-Aug-2005,0.213563028882959
01-Sep-2005,0.191526179675719
01-Oct-2005,0.214004512418533
01-Nov-2005,0.245252752300075
01-Dec-2005,0.28363402752867
01-Jan-2006,0.126620049484401
01-Feb-2006,0.0794492377401276
01-Mar-2006,0.108428329827973
01-Apr-2006,0.43182838320167
01-May-2006,0.384971336657023
01-Jun-2006,0.303421448262217
01-Jul-2006,0.177744672119279
01-Aug-2006,0.17054542232788
01-Sep-2006,0.194400505548735
01-Oct-2006,0.226916002500519
01-Nov-2006,0.22760919928116
01-Dec-2006,0.239734959215095
01-Jan-2007,0.227105974290528
01-Feb-2007,0.187341271873219
01-Mar-2007,0.21506364594856
01-Apr-2007,0.270530836498242
01-May-2007,0.278958608551865
01-Jun-2007,0.204527530411203
01-Jul-2007,0.161539182316544
01-Aug-2007,0.150289582329364
01-Sep-2007,0.152654722497081
01-Oct-2007,0.188683496638907
01-Nov-2007,0.244268178719496
01-Dec-2007,0.246384000511891
01-Jan-2008,0.217664758218745
01-Feb-2008,0.165966220634603
01-Mar-2008,0.213752070541641
01-Apr-2008,0.267805077881731
01-May-2008,0.258286693570144
01-Jun-2008,0.211183752022829
01-Jul-2008,0.156497484350738
01-Aug-2008,0.13902639078508
01-Sep-2008,0.162769728550539
01-Oct-2008,0.177361024412469
01-Nov-2008,0.242100830603303
01-Dec-2008,0.236839897003565
01-Jan-2009,0.127415394387996
01-Feb-2009,0.095300271465564
01-Mar-2009,0.170252637078098
01-Apr-2009,0.379934397748936
01-May-2009,0.288150884717158
01-Jun-2009,0.200227689031317
01-Jul-2009,0.165349568220979
01-Aug-2009,0.138158141977019
01-Sep-2009,0.139353212523454
01-Oct-2009,0.17870581023548
01-Nov-2009,0.20986124089395
01-Dec-2009,0.289316127278422
01-Jan-2010,0.190538431910229
01-Feb-2010,0.0804357213079254
01-Mar-2010,0.0821235809087209
01-Apr-2010,0.391708427745886
01-May-2010,0.350851700685538
01-Jun-2010,0.274135131610965
01-Jul-2010,0.202134053333044
01-Aug-2010,0.196087857264244
01-Sep-2010,0.199487560657487
01-Oct-2010,0.219929670931719
01-Nov-2010,0.269747917415004
01-Dec-2010,0.243667789074184
01-Jan-2011,0.139310315034066
01-Feb-2011,0.131517396217142
01-Mar-2011,0.196701909670606
01-Apr-2011,0.329369303244467
01-May-2011,0.265054015911031
01-Jun-2011,0.200375673535416
01-Jul-2011,0.191726472774866
01-Aug-2011,0.167120337338852
01-Sep-2011,0.157364951522361
01-Oct-2011,0.161325588431247
01-Nov-2011,0.180485880397656
01-Dec-2011,0.244586399773862
01-Jan-2012,0.23496103482564
01-Feb-2012,0.104584912235249
01-Mar-2012,0.0921746755509014
01-Apr-2012,0.440590234533293
01-May-2012,0.318948100712487
01-Jun-2012,0.244595811300557
01-Jul-2012,0.178606654846338
01-Aug-2012,0.14821715334732
01-Sep-2012,0.142624606943754
