Date,NO3
01-Jan-1999,549.827733434666
01-Feb-1999,3469.01889199616
01-Mar-1999,1031.27406507178
01-Apr-1999,66.332465865887
01-May-1999,10.4330947295479
01-Jun-1999,9.58918764099958
01-Jul-1999,9.69103414755462
01-Aug-1999,13.612685459548
01-Sep-1999,19.2173655731692
01-Oct-1999,18.3511259749616
01-Nov-1999,35.7877861484463
01-Dec-1999,184.341717941775
01-Jan-2000,1990.31215049008
01-Feb-2000,2224.1452176936
01-Mar-2000,416.885830725975
01-Apr-2000,41.8506388312702
01-May-2000,8.81087894746171
01-Jun-2000,6.91543725127308
01-Jul-2000,8.33012381753759
01-Aug-2000,6.53151501239135
01-Sep-2000,8.39283690245255
01-Oct-2000,12.6573757521372
01-Nov-2000,35.414062110598
01-Dec-2000,320.335171672482
01-Jan-2001,429.587229867513
01-Feb-2001,267.491448249168
01-Mar-2001,188.174119397688
01-Apr-2001,45.6353294502359
01-May-2001,8.18329822904446
01-Jun-2001,6.5005953469664
01-Jul-2001,6.31739252050793
01-Aug-2001,5.40078765548245
01-Sep-2001,7.79923662751744
01-Oct-2001,7.88070323021065
01-Nov-2001,15.6087277994715
01-Dec-2001,66.0649021127048
01-Jan-2002,430.849159125344
01-Feb-2002,419.666520686591
01-Mar-2002,33.3229013273531
01-Apr-2002,17.2204398802413
01-May-2002,8.61623565461099
01-Jun-2002,5.43309986568804
01-Jul-2002,4.25696560205269
01-Aug-2002,4.49447407569236
01-Sep-2002,6.64695999212211
01-Oct-2002,13.2789528455536
01-Nov-2002,20.2813689731245
01-Dec-2002,43.7227686826133
01-Jan-2003,222.497861353797
01-Feb-2003,498.123733679153
01-Mar-2003,884.787864028844
01-Apr-2003,39.0763812236389
01-May-2003,7.35490060618785
01-Jun-2003,6.33944509791066
01-Jul-2003,5.26946354903886
01-Aug-2003,5.24471069193517
01-Sep-2003,8.02004864986542
01-Oct-2003,13.8458011461341
01-Nov-2003,16.6330229573529
01-Dec-2003,37.6126983224332
01-Jan-2004,72.5477972841894
01-Feb-2004,172.86645598673
01-Mar-2004,367.627754139314
01-Apr-2004,30.2145950555351
01-May-2004,10.1267557450639
01-Jun-2004,6.59224287548678
01-Jul-2004,6.62022748921905
01-Aug-2004,6.05845564660143
01-Sep-2004,7.93948522091813
01-Oct-2004,9.62713549673445
01-Nov-2004,20.1411600166999
01-Dec-2004,64.7064597845528
01-Jan-2005,1323.55076127512
01-Feb-2005,8511.61322817595
01-Mar-2005,4499.57766919776
01-Apr-2005,188.82654504109
01-May-2005,8.66645090160839
01-Jun-2005,5.74450204683387
01-Jul-2005,6.83212672469747
01-Aug-2005,6.53496484449996
01-Sep-2005,6.72570724793778
01-Oct-2005,9.73418118417376
01-Nov-2005,22.4952604495735
01-Dec-2005,510.646991217745
01-Jan-2006,5309.93573750891
01-Feb-2006,5230.99966070107
01-Mar-2006,2209.86671638128
01-Apr-2006,35.3449248276045
01-May-2006,11.1442617820206
01-Jun-2006,8.97324595334174
01-Jul-2006,5.42023769263284
01-Aug-2006,5.27984595749464
01-Sep-2006,6.73501573573439
01-Oct-2006,9.78428793764745
01-Nov-2006,19.24705540886
01-Dec-2006,37.5590848940757
01-Jan-2007,82.0829501954279
01-Feb-2007,126.665251625508
01-Mar-2007,62.0619474277605
01-Apr-2007,12.5666988504406
01-May-2007,7.46750835750414
01-Jun-2007,6.09374408145032
01-Jul-2007,5.72748200248906
01-Aug-2007,5.57701463780466
01-Sep-2007,6.11308186040709
01-Oct-2007,8.13547719223513
01-Nov-2007,47.3645377492634
01-Dec-2007,113.760448434177
01-Jan-2008,116.329114600255
01-Feb-2008,254.32932148809
01-Mar-2008,99.3450756613834
01-Apr-2008,33.5245082364867
01-May-2008,6.75443019127801
01-Jun-2008,6.79426598684098
01-Jul-2008,4.8191762105729
01-Aug-2008,4.19251881925731
01-Sep-2008,6.22203263668572
01-Oct-2008,9.45778180160234
01-Nov-2008,20.7539720661473
01-Dec-2008,601.564402062861
01-Jan-2009,1299.53172635401
01-Feb-2009,1688.6819996969
01-Mar-2009,152.208748209905
01-Apr-2009,15.3122914716292
01-May-2009,7.51427594835682
01-Jun-2009,5.71650970906076
01-Jul-2009,5.68959479521263
01-Aug-2009,4.84847172311664
01-Sep-2009,6.06399156781361
01-Oct-2009,11.6762172594413
01-Nov-2009,20.7822450086165
01-Dec-2009,191.866174218335
01-Jan-2010,2011.33411620921
01-Feb-2010,4489.80777274638
01-Mar-2010,1924.87765740898
01-Apr-2010,22.3574376944558
01-May-2010,12.116358935495
01-Jun-2010,7.62932053405531
01-Jul-2010,5.65025570892882
01-Aug-2010,6.33391588802374
01-Sep-2010,10.5593244988887
01-Oct-2010,14.3996738891746
01-Nov-2010,38.920313945114
01-Dec-2010,1007.76637614923
01-Jan-2011,1686.00436447519
01-Feb-2011,794.943359836513
01-Mar-2011,191.588306686603
01-Apr-2011,11.4003310681291
01-May-2011,7.27118511236007
01-Jun-2011,6.81023287367505
01-Jul-2011,7.65409844764464
01-Aug-2011,5.83311182880221
01-Sep-2011,7.59510065251803
01-Oct-2011,8.28906122723239
01-Nov-2011,10.6558784852632
01-Dec-2011,44.1428241982127
01-Jan-2012,244.54878540616
01-Feb-2012,3162.20530484349
01-Mar-2012,366.065359090362
01-Apr-2012,34.6507234050556
01-May-2012,10.9125530390748
01-Jun-2012,6.80111437889489
01-Jul-2012,7.16531463381473
01-Aug-2012,5.72549806245108
01-Sep-2012,6.9546573833617
01-Oct-2012,9.59694098705155
01-Nov-2012,15.7778071293533
