Date,MLD
01-Jan-1999,86.9621525640073
01-Feb-1999,118.239392819612
01-Mar-1999,69.5667177283246
01-Apr-1999,24.9146703637165
01-May-1999,12.0656414861264
01-Jun-1999,12.0949857960577
01-Jul-1999,12.3734955580338
01-Aug-1999,14.7687994086224
01-Sep-1999,23.3477330415145
01-Oct-1999,33.7131822005562
01-Nov-1999,48.475026835566
01-Dec-1999,73.9183369512143
01-Jan-2000,124.238239454186
01-Feb-2000,168.093987174656
01-Mar-2000,94.0659949261209
01-Apr-2000,19.4375385616137
01-May-2000,12.8173516729604
01-Jun-2000,11.907454241877
01-Jul-2000,12.8346582081007
01-Aug-2000,15.5218142633853
01-Sep-2000,21.7806597170622
01-Oct-2000,33.2953380087148
01-Nov-2000,42.7528990040655
01-Dec-2000,61.9340135325556
01-Jan-2001,83.3678389839504
01-Feb-2001,111.551659957222
01-Mar-2001,35.0430818640667
01-Apr-2001,21.9601793703826
01-May-2001,15.1556569804316
01-Jun-2001,12.2229523866073
01-Jul-2001,11.9353704867156
01-Aug-2001,12.4839099801105
01-Sep-2001,18.1567214468251
01-Oct-2001,28.4944167759108
01-Nov-2001,46.3784909455673
01-Dec-2001,67.554352801779
01-Jan-2002,98.9630558179772
01-Feb-2002,69.5891431725543
01-Mar-2002,42.7548508022142
01-Apr-2002,27.5396070894988
01-May-2002,12.0781206462694
01-Jun-2002,11.9022860734359
01-Jul-2002,11.9558977873429
01-Aug-2002,15.5485127075859
01-Sep-2002,22.3379026495892
01-Oct-2002,35.4557315992272
01-Nov-2002,49.6707068733547
01-Dec-2002,66.4553929204526
01-Jan-2003,71.9717161759086
01-Feb-2003,97.5596273671026
01-Mar-2003,72.0466894066852
01-Apr-2003,21.5351718405019
01-May-2003,12.249200074569
01-Jun-2003,12.4641757218734
01-Jul-2003,11.9436035570891
01-Aug-2003,13.5554312001104
01-Sep-2003,20.9329507247261
01-Oct-2003,27.2484129200811
01-Nov-2003,40.7170980702276
01-Dec-2003,57.3239596822987
01-Jan-2004,93.9210984603218
01-Feb-2004,104.341278739597
01-Mar-2004,36.3928366122038
01-Apr-2004,16.9583706233812
01-May-2004,14.1064185266909
01-Jun-2004,12.0214657990829
01-Jul-2004,11.9078697536303
01-Aug-2004,13.2581581447435
01-Sep-2004,17.7638255409572
01-Oct-2004,26.7159601294476
01-Nov-2004,40.4064677694569
01-Dec-2004,59.1874260280443
01-Jan-2005,88.7702862283458
01-Feb-2005,105.716748113218
01-Mar-2005,51.2472114562988
01-Apr-2005,28.2642870363982
01-May-2005,13.1472396021304
01-Jun-2005,12.2054254697717
01-Jul-2005,12.1625496408214
01-Aug-2005,15.7972526550293
01-Sep-2005,23.1812276425569
01-Oct-2005,33.859223075535
01-Nov-2005,53.5168511763863
01-Dec-2005,63.3642863398013
01-Jan-2006,113.472643313201
01-Feb-2006,115.235428519871
01-Mar-2006,61.1721960979959
01-Apr-2006,16.7938774772312
01-May-2006,13.1280037423839
01-Jun-2006,12.1065923856652
01-Jul-2006,13.4116125106812
01-Aug-2006,17.4557974442192
01-Sep-2006,23.1777687072754
01-Oct-2006,36.5877869647482
01-Nov-2006,60.8075626207435
01-Dec-2006,80.1153484842052
01-Jan-2007,98.9488701198412
01-Feb-2007,107.781559156335
01-Mar-2007,58.166701938795
01-Apr-2007,26.9087178603463
01-May-2007,12.8828906183657
01-Jun-2007,12.1323241358218
01-Jul-2007,12.1534954568614
01-Aug-2007,16.0984747928122
01-Sep-2007,23.4841678453528
01-Oct-2007,28.9539464038351
01-Nov-2007,48.5665910140328
01-Dec-2007,68.895412279212
01-Jan-2008,94.3089835125467
01-Feb-2008,150.152249543563
01-Mar-2008,49.3697975822117
01-Apr-2008,23.3742179870605
01-May-2008,16.8991877514383
01-Jun-2008,14.4903926434724
01-Jul-2008,13.5773703948311
01-Aug-2008,17.998259295588
01-Sep-2008,23.2293657219928
01-Oct-2008,34.1985953787099
01-Nov-2008,42.2906865658967
01-Dec-2008,67.0715250761613
01-Jan-2009,92.1068407141644
01-Feb-2009,112.727267057999
01-Mar-2009,104.780222022015
01-Apr-2009,24.3236310378365
01-May-2009,15.2730177174444
01-Jun-2009,11.9485496852709
01-Jul-2009,14.2441898843516
01-Aug-2009,18.6260591589886
01-Sep-2009,26.6201352658479
01-Oct-2009,33.7614878778872
01-Nov-2009,49.6828880310059
01-Dec-2009,62.5674556234609
01-Jan-2010,82.5916267063307
01-Feb-2010,81.258222165315
01-Mar-2010,61.9043980474057
01-Apr-2010,25.8120448071024
01-May-2010,13.8576451591823
01-Jun-2010,12.3382082400115
01-Jul-2010,12.6616037617559
01-Aug-2010,12.5137969307278
01-Sep-2010,20.1875453617262
01-Oct-2010,28.9644033183222
01-Nov-2010,39.4149368120276
01-Dec-2010,59.2397218787152
01-Jan-2011,83.3641974407694
01-Feb-2011,93.9236672442892
01-Mar-2011,71.3080754487411
01-Apr-2011,29.554839009824
01-May-2011,14.7316719967386
01-Jun-2011,12.3639474951703
01-Jul-2011,12.6147383814273
01-Aug-2011,16.2143895107767
01-Sep-2011,22.7259018939474
01-Oct-2011,35.1780964395274
01-Nov-2011,50.9860310761825
01-Dec-2011,71.0684545765752
01-Jan-2012,128.380286175272
01-Feb-2012,172.936533388884
01-Mar-2012,101.648914171302
01-Apr-2012,19.1724005160124
01-May-2012,12.1206941604614
01-Jun-2012,11.8858759092248
01-Jul-2012,11.9050843612007
01-Aug-2012,14.6841177733048
01-Sep-2012,22.5691492661186
01-Oct-2012,30.6341039408808
01-Nov-2012,40.5113313094429
