Date,SSS
01-Jan-1999,38.9303152090165
01-Feb-1999,38.9089962214061
01-Mar-1999,38.9074986110291
01-Apr-1999,38.9021096242332
01-May-1999,38.8998480434101
01-Jun-1999,38.8903763161697
01-Jul-1999,38.8899125642949
01-Aug-1999,38.9034221200671
01-Sep-1999,38.9201269271719
01-Oct-1999,38.9372860140648
01-Nov-1999,38.9583146812136
01-Dec-1999,38.9679099508443
01-Jan-2000,38.9468610195454
01-Feb-2000,38.937958386513
01-Mar-2000,38.9283848817511
01-Apr-2000,38.9300202017552
01-May-2000,38.915496126851
01-Jun-2000,38.9181752833023
01-Jul-2000,38.9205307315408
01-Aug-2000,38.9185935630119
01-Sep-2000,38.9232229223931
01-Oct-2000,38.938331625387
01-Nov-2000,38.9419607192638
01-Dec-2000,38.9328098555043
01-Jan-2001,38.92589075314
01-Feb-2001,38.9166530475604
01-Mar-2001,38.9219928750898
01-Apr-2001,38.9110290590713
01-May-2001,38.8805649951843
01-Jun-2001,38.8857968565812
01-Jul-2001,38.8702420902141
01-Aug-2001,38.8771441684354
01-Sep-2001,38.8900520967136
01-Oct-2001,38.8839518677639
01-Nov-2001,38.9228650333034
01-Dec-2001,38.9028973340505
01-Jan-2002,38.9221643922479
01-Feb-2002,38.9190263067461
01-Mar-2002,38.9017593129533
01-Apr-2002,38.8944793072634
01-May-2002,38.8937484000763
01-Jun-2002,38.896033946588
01-Jul-2002,38.8888586461087
01-Aug-2002,38.8872495316334
01-Sep-2002,38.9124530174858
01-Oct-2002,38.9278337826659
01-Nov-2002,38.9490316648564
01-Dec-2002,38.9741142393756
01-Jan-2003,38.9451105782664
01-Feb-2003,38.9245128795087
01-Mar-2003,38.8696759313431
01-Apr-2003,38.8759828342241
01-May-2003,38.893736413525
01-Jun-2003,38.8849451366261
01-Jul-2003,38.8848060266405
01-Aug-2003,38.9072178236818
01-Sep-2003,38.915927756167
01-Oct-2003,38.9253989768466
01-Nov-2003,38.9458692293945
01-Dec-2003,38.9329021261332
01-Jan-2004,38.9212187306609
01-Feb-2004,38.9131637139805
01-Mar-2004,38.8978819291946
01-Apr-2004,38.8990064979061
01-May-2004,38.8918504106055
01-Jun-2004,38.8905951504485
01-Jul-2004,38.8771245038704
01-Aug-2004,38.8854140623514
01-Sep-2004,38.8998187225049
01-Oct-2004,38.9041625446043
01-Nov-2004,38.9292469517484
01-Dec-2004,38.9274936587918
01-Jan-2005,38.9398631251597
01-Feb-2005,38.938568552105
01-Mar-2005,38.9218871546505
01-Apr-2005,38.8932864519513
01-May-2005,38.8813150424262
01-Jun-2005,38.8875279042518
01-Jul-2005,38.8926156370352
01-Aug-2005,38.9128158130592
01-Sep-2005,38.9277953951725
01-Oct-2005,38.9614053786561
01-Nov-2005,38.9746375565921
01-Dec-2005,38.966357231862
01-Jan-2006,38.9606429131428
01-Feb-2006,38.9608204060955
01-Mar-2006,38.93738430622
01-Apr-2006,38.9276731234375
01-May-2006,38.9365747615316
01-Jun-2006,38.9416704488263
01-Jul-2006,38.9733969545465
01-Aug-2006,38.9890197225104
01-Sep-2006,39.0067683775343
01-Oct-2006,39.0291743764793
01-Nov-2006,39.0273367974507
01-Dec-2006,39.0403182578212
01-Jan-2007,39.0213689210384
01-Feb-2007,39.0075919502352
01-Mar-2007,38.9877567104353
01-Apr-2007,38.9921812668279
01-May-2007,39.0024914332486
01-Jun-2007,39.0057679646115
01-Jul-2007,39.0100062553637
01-Aug-2007,39.0100322860818
01-Sep-2007,39.0151977062235
01-Oct-2007,39.0189715949455
01-Nov-2007,39.032136955159
01-Dec-2007,39.0355818700421
01-Jan-2008,39.0347759742149
01-Feb-2008,39.0264971196116
01-Mar-2008,39.0205596709529
01-Apr-2008,39.016573442794
01-May-2008,39.0150816243481
01-Jun-2008,38.9837053102717
01-Jul-2008,39.0585766373591
01-Aug-2008,39.0600929843216
01-Sep-2008,39.0513914062271
01-Oct-2008,39.0416811116235
01-Nov-2008,39.0378201065349
01-Dec-2008,39.0403499218142
01-Jan-2009,39.0452439842412
01-Feb-2009,39.0461118118318
01-Mar-2009,39.0485333766771
01-Apr-2009,39.0244999469974
01-May-2009,39.014056429355
01-Jun-2009,39.0369016633643
01-Jul-2009,39.0185708698202
01-Aug-2009,39.0107438236969
01-Sep-2009,39.0205748698849
01-Oct-2009,39.0332411490589
01-Nov-2009,39.0347075000829
01-Dec-2009,39.0493496035825
01-Jan-2010,39.0471293238166
01-Feb-2010,39.0378165069953
01-Mar-2010,39.0254771335872
01-Apr-2010,39.0176493540394
01-May-2010,39.0393867149298
01-Jun-2010,39.0509883342682
01-Jul-2010,39.1049564417996
01-Aug-2010,38.976551994189
01-Sep-2010,38.9923100519784
01-Oct-2010,39.0086847937699
01-Nov-2010,39.0210541463547
01-Dec-2010,39.0370349619866
01-Jan-2011,39.0286943431728
01-Feb-2011,39.0044816103132
01-Mar-2011,38.9938931589136
01-Apr-2011,38.9660967823351
01-May-2011,38.9733299136281
01-Jun-2011,38.9729999404807
01-Jul-2011,38.9496594491819
01-Aug-2011,38.9389984932491
01-Sep-2011,38.9601087255102
01-Oct-2011,38.9746519508486
01-Nov-2011,38.9722869993854
01-Dec-2011,38.9818892868072
01-Jan-2012,38.9923774408013
01-Feb-2012,38.9843390288743
01-Mar-2012,38.9706045187319
01-Apr-2012,38.953224712414
01-May-2012,38.9407728534706
01-Jun-2012,38.932583933276
01-Jul-2012,38.9261683682193
01-Aug-2012,38.9317844102353
01-Sep-2012,38.9469067849089
01-Oct-2012,38.9452482956974
