Date,PO4
01-Jan-1999,0.00944060545262664
01-Feb-1999,0.0204488996288914
01-Mar-1999,0.0199561405697657
01-Apr-1999,0.0120629259927806
01-May-1999,0.00821936102055844
01-Jun-1999,0.00565529782958822
01-Jul-1999,0.00734594982779375
01-Aug-1999,0.00866457994495622
01-Sep-1999,0.00820983662993366
01-Oct-1999,0.00751951090459229
01-Nov-1999,0.00652070136889129
01-Dec-1999,0.00622318207606076
01-Jan-2000,0.0186321298921008
01-Feb-2000,0.0389752385749249
01-Mar-2000,0.0448210951929504
01-Apr-2000,0.02472329587682
01-May-2000,0.0118275125543267
01-Jun-2000,0.00640576388986186
01-Jul-2000,0.00727803227201189
01-Aug-2000,0.00854785411226889
01-Sep-2000,0.00855786643730235
01-Oct-2000,0.00755546903432026
01-Nov-2000,0.00641619886842901
01-Dec-2000,0.00685434482227773
01-Jan-2001,0.0134143949875554
01-Feb-2001,0.0311069170809349
01-Mar-2001,0.0269161364695202
01-Apr-2001,0.0132551028831289
01-May-2001,0.00749294819985263
01-Jun-2001,0.00552444431423747
01-Jul-2001,0.00732674042188997
01-Aug-2001,0.00869889977037738
01-Sep-2001,0.00830195272514364
01-Oct-2001,0.00734606591495824
01-Nov-2001,0.00633389167553722
01-Dec-2001,0.00944538888596482
01-Jan-2002,0.0297451457934678
01-Feb-2002,0.0296956782721115
01-Mar-2002,0.0221391569802874
01-Apr-2002,0.0194023939831662
01-May-2002,0.00925510826191402
01-Jun-2002,0.0061369473827626
01-Jul-2002,0.00829960603587372
01-Aug-2002,0.00923746046896473
01-Sep-2002,0.00864819447360523
01-Oct-2002,0.00789335984904065
01-Nov-2002,0.00681673564429476
01-Dec-2002,0.00740987946735731
01-Jan-2003,0.0134236841939854
01-Feb-2003,0.0292080117782983
01-Mar-2003,0.031086716396247
01-Apr-2003,0.0170900120154766
01-May-2003,0.010427485539143
01-Jun-2003,0.00671516108838929
01-Jul-2003,0.00797040978717725
01-Aug-2003,0.00923845511517842
01-Sep-2003,0.00848704468293513
01-Oct-2003,0.00769570937496017
01-Nov-2003,0.00669615523917404
01-Dec-2003,0.00760451790152224
01-Jan-2004,0.0253473606122705
01-Feb-2004,0.0460701719897364
01-Mar-2004,0.0322252302128966
01-Apr-2004,0.0150322890059443
01-May-2004,0.00839587135282102
01-Jun-2004,0.00699623287012818
01-Jul-2004,0.00809184698588682
01-Aug-2004,0.00870949315082073
01-Sep-2004,0.00857273390196305
01-Oct-2004,0.00776973159716153
01-Nov-2004,0.00688384254135948
01-Dec-2004,0.00829733224055735
01-Jan-2005,0.0175698540741762
01-Feb-2005,0.0389708880706945
01-Mar-2005,0.0357438148635052
01-Apr-2005,0.0177773068944232
01-May-2005,0.0108490470664783
01-Jun-2005,0.00672424014055633
01-Jul-2005,0.00733438116200761
01-Aug-2005,0.00888693773810842
01-Sep-2005,0.0085543532075431
01-Oct-2005,0.0073311494617117
01-Nov-2005,0.00634035115947677
01-Dec-2005,0.00909284376175189
01-Jan-2006,0.0239800656520243
01-Feb-2006,0.046414587728865
01-Mar-2006,0.0441213805437638
01-Apr-2006,0.0188805748016195
01-May-2006,0.0108206006541036
01-Jun-2006,0.00637828508332118
01-Jul-2006,0.00773650494702841
01-Aug-2006,0.00886328043779148
01-Sep-2006,0.0088348053987623
01-Oct-2006,0.00821676292225203
01-Nov-2006,0.00724746713734351
01-Dec-2006,0.0081622335412925
01-Jan-2007,0.0189309758447321
01-Feb-2007,0.0416012520360502
01-Mar-2007,0.0389072861523211
01-Apr-2007,0.0218004459488618
01-May-2007,0.0109139229160415
01-Jun-2007,0.00556111933590719
01-Jul-2007,0.00728690062961163
01-Aug-2007,0.00888670918728141
