"Box","sum_Nutri","y","ymin","ymax",".width",".point",".interval"
"Adriatic",0.445690567310613,0.110396006615036,0.096242559448699,0.124035406740124,0.8,"median","qi"
"Adriatic",0.456074316325032,0.110263808710143,0.096426854555537,0.12358981708638,0.8,"median","qi"
"Adriatic",0.466458065339452,0.110079416399689,0.0965408360302398,0.123080052065022,0.8,"median","qi"
"Adriatic",0.476841814353872,0.109899109224733,0.0966574339458618,0.12274198380295,0.8,"median","qi"
"Adriatic",0.487225563368292,0.109749096082372,0.0968557392935045,0.122328023347575,0.8,"median","qi"
"Adriatic",0.497609312382712,0.109625707355751,0.0970170338261686,0.121924725671406,0.8,"median","qi"
"Adriatic",0.507993061397132,0.10942675170513,0.097176639365306,0.121368666581039,0.8,"median","qi"
"Adriatic",0.518376810411551,0.109325348331333,0.0971756559940893,0.120881612925217,0.8,"median","qi"
"Adriatic",0.528760559425971,0.109145273234782,0.0973060746055003,0.120409817580193,0.8,"median","qi"
"Adriatic",0.539144308440391,0.109018387768202,0.0974172012675322,0.119801658659537,0.8,"median","qi"
"Adriatic",0.549528057454811,0.10881296028653,0.0974120498132363,0.119323171781812,0.8,"median","qi"
"Adriatic",0.559911806469231,0.108719501953368,0.0975177557576794,0.118919277555966,0.8,"median","qi"
"Adriatic",0.570295555483651,0.108527002937796,0.0975438184116456,0.118522421722475,0.8,"median","qi"
"Adriatic",0.58067930449807,0.108446696291592,0.0975490687437057,0.118022176121522,0.8,"median","qi"
"Adriatic",0.59106305351249,0.108258387888517,0.0976077898842228,0.117657184287577,0.8,"median","qi"
"Adriatic",0.60144680252691,0.108011638712574,0.0975732031016805,0.117358269918265,0.8,"median","qi"
"Adriatic",0.61183055154133,0.107941164115688,0.0976802574312468,0.117134466235721,0.8,"median","qi"
"Adriatic",0.62221430055575,0.107763656784684,0.0975695329064159,0.116795213464587,0.8,"median","qi"
"Adriatic",0.63259804957017,0.107640172538325,0.0975982499493969,0.1165429853625,0.8,"median","qi"
"Adriatic",0.642981798584589,0.107577033143976,0.0976630508336105,0.116419619500165,0.8,"median","qi"
"Adriatic",0.653365547599009,0.107496637119039,0.0977547116377428,0.116092878511554,0.8,"median","qi"
"Adriatic",0.663749296613429,0.107377412861822,0.0978051440497546,0.115824668284433,0.8,"median","qi"
"Adriatic",0.674133045627849,0.107254199795563,0.0978814503317307,0.115675368602334,0.8,"median","qi"
"Adriatic",0.684516794642269,0.107148745583968,0.0980338023797242,0.115396290304732,0.8,"median","qi"
"Adriatic",0.694900543656689,0.107068594755024,0.0981520415527462,0.115308264444814,0.8,"median","qi"
"Adriatic",0.705284292671109,0.106979563579876,0.09814165862426,0.115133740208802,0.8,"median","qi"
"Adriatic",0.715668041685528,0.106935564397383,0.0981474169699165,0.114985580357552,0.8,"median","qi"
"Adriatic",0.726051790699948,0.10687717278594,0.0981424196692974,0.114893366267942,0.8,"median","qi"
"Adriatic",0.736435539714368,0.106864930932778,0.0982300548112637,0.114826237486219,0.8,"median","qi"
"Adriatic",0.746819288728788,0.106807307650937,0.0983046912428669,0.114863494704723,0.8,"median","qi"
"Adriatic",0.757203037743208,0.106762607984609,0.0983310866166567,0.114805016458928,0.8,"median","qi"
"Adriatic",0.767586786757628,0.106784005580883,0.0983632607919584,0.114736956744226,0.8,"median","qi"
"Adriatic",0.777970535772047,0.106769920337289,0.0984141280061726,0.114782975150646,0.8,"median","qi"
"Adriatic",0.788354284786467,0.106819462541704,0.0984858209294076,0.114849055387177,0.8,"median","qi"
"Adriatic",0.798738033800887,0.106876360672417,0.0984028018379344,0.114939057065145,0.8,"median","qi"
"Adriatic",0.809121782815307,0.106943919530899,0.0985567179403229,0.115120305080109,0.8,"median","qi"
"Adriatic",0.819505531829727,0.106956079464641,0.0987197339303731,0.115168859932658,0.8,"median","qi"
"Adriatic",0.829889280844147,0.107067339570748,0.0989122959615505,0.115218405335227,0.8,"median","qi"
"Adriatic",0.840273029858567,0.107168752921472,0.0989271574439958,0.115294066522219,0.8,"median","qi"
"Adriatic",0.850656778872986,0.107318368062699,0.0990339867113248,0.115390242031527,0.8,"median","qi"
"Adriatic",0.861040527887406,0.107480795056003,0.0991889450377277,0.115501466015998,0.8,"median","qi"
"Adriatic",0.871424276901826,0.107626790697868,0.0993135029409576,0.115739359880907,0.8,"median","qi"
"Adriatic",0.881808025916246,0.107816499624743,0.0995288428980213,0.116004415552674,0.8,"median","qi"
"Adriatic",0.892191774930666,0.108076199259503,0.0997533527582482,0.116191828261819,0.8,"median","qi"
"Adriatic",0.902575523945086,0.108258012370156,0.0998962436637451,0.116452633426503,0.8,"median","qi"
"Adriatic",0.912959272959506,0.108473543281704,0.10008323788603,0.116688295124486,0.8,"median","qi"
"Adriatic",0.923343021973925,0.108710677736589,0.100234209949582,0.116940457344315,0.8,"median","qi"
"Adriatic",0.933726770988345,0.10900600861521,0.100464979056218,0.117223825257067,0.8,"median","qi"
"Adriatic",0.944110520002765,0.109276597997168,0.10069953445383,0.117487583717838,0.8,"median","qi"
"Adriatic",0.954494269017185,0.109590884521564,0.101021020734433,0.117780505904809,0.8,"median","qi"
"Adriatic",0.964878018031605,0.109934994647743,0.101286667022679,0.118079685306744,0.8,"median","qi"
"Adriatic",0.975261767046024,0.110262721209578,0.101631637961351,0.118473614058361,0.8,"median","qi"
"Adriatic",0.985645516060444,0.110681689413507,0.101957833344649,0.118779933866813,0.8,"median","qi"
"Adriatic",0.996029265074864,0.111073215619126,0.102245310841786,0.119247709043768,0.8,"median","qi"
