"Box","N_P","y","ymin","ymax",".width",".point",".interval"
"Adriatic",28.6940421994129,0.0880433939029396,0.0918160977177418,0.0831458549236267,0.8,"median","qi"
"Adriatic",30.504413408988,0.0880588514004088,0.0912549716643845,0.0837011027041834,0.8,"median","qi"
"Adriatic",32.3147846185631,0.0881031912888013,0.0908785477171624,0.0842057793292798,0.8,"median","qi"
"Adriatic",34.1251558281382,0.0881592504587168,0.0904457453686489,0.0847823435028811,0.8,"median","qi"
"Adriatic",35.9355270377133,0.0882410415219686,0.0900835231922111,0.0851965740545281,0.8,"median","qi"
"Adriatic",37.7458982472884,0.0883059716797727,0.0897838308846077,0.0854355023351131,0.8,"median","qi"
"Adriatic",39.5562694568635,0.0882373551457069,0.0893074494831334,0.0860819883612018,0.8,"median","qi"
"Adriatic",41.3666406664387,0.0882874233596797,0.0889852454964739,0.0863255188188284,0.8,"median","qi"
"Adriatic",43.1770118760138,0.0882487206004379,0.0887479852794181,0.086765409696077,0.8,"median","qi"
"Adriatic",44.9873830855889,0.0882223265755025,0.0883711454491177,0.0870826118396618,0.8,"median","qi"
"Adriatic",46.797754295164,0.0882752015278672,0.0880502445267197,0.0872401119168055,0.8,"median","qi"
"Adriatic",48.6081255047391,0.0881931108658735,0.0875809708762234,0.0876565917643422,0.8,"median","qi"
"Adriatic",50.4184967143142,0.0881931030038249,0.0873587106276941,0.0879263408805728,0.8,"median","qi"
"Adriatic",52.2288679238893,0.0880619220284381,0.0869085114401962,0.0882015193725686,0.8,"median","qi"
"Adriatic",54.0392391334644,0.0879997985762364,0.0866055145253996,0.0884601994521302,0.8,"median","qi"
"Adriatic",55.8496103430396,0.0878792402579622,0.0862792195033871,0.0884362569855932,0.8,"median","qi"
"Adriatic",57.6599815526147,0.0877531488357721,0.0858292972064993,0.0886048429937081,0.8,"median","qi"
"Adriatic",59.4703527621898,0.0876275223324422,0.0853997488628213,0.0887757121407879,0.8,"median","qi"
"Adriatic",61.2807239717649,0.0874811824210784,0.085097819171856,0.0889499173532023,0.8,"median","qi"
"Adriatic",63.09109518134,0.0872428356386801,0.0847205669138586,0.0890139819122643,0.8,"median","qi"
"Adriatic",64.9014663909151,0.0870881958621919,0.0843107855729593,0.0890951414127546,0.8,"median","qi"
"Adriatic",66.7118376004902,0.086834376988576,0.0838262902296283,0.0891018550755901,0.8,"median","qi"
"Adriatic",68.5222088100654,0.0865427446404983,0.0832303806980375,0.0891039314764363,0.8,"median","qi"
"Adriatic",70.3325800196405,0.0862683443430579,0.0827266066378437,0.0891207451096164,0.8,"median","qi"
"Adriatic",72.1429512292156,0.0860412658933025,0.0821625940755599,0.0890859423257362,0.8,"median","qi"
"Adriatic",73.9533224387907,0.0857694840127429,0.0816022902242572,0.0890478648425459,0.8,"median","qi"
"Adriatic",75.7636936483658,0.0854540355424981,0.0809921013258341,0.0889328846111632,0.8,"median","qi"
"Adriatic",77.5740648579409,0.0850715589334663,0.0803699386523877,0.0887465213556954,0.8,"median","qi"
"Adriatic",79.384436067516,0.0846755326595006,0.0798948892693844,0.088628168171473,0.8,"median","qi"
"Adriatic",81.1948072770912,0.084346256360885,0.079446639571762,0.0885222776179034,0.8,"median","qi"
"Adriatic",83.0051784866663,0.0839360466823357,0.0789096469417031,0.0884530451177943,0.8,"median","qi"
"Adriatic",84.8155496962414,0.0835634780705261,0.0783109338776388,0.0883286995003484,0.8,"median","qi"
"Adriatic",86.6259209058165,0.0831666279497675,0.0776975968667332,0.0882273989205415,0.8,"median","qi"
"Adriatic",88.4362921153916,0.0827662137835805,0.0772007302786699,0.0880396041144617,0.8,"median","qi"
"Adriatic",90.2466633249667,0.0823994040977368,0.0766721182142456,0.0878592992425409,0.8,"median","qi"
"Adriatic",92.0570345345418,0.0820316214816695,0.0761525475420534,0.0877205449941607,0.8,"median","qi"
"Adriatic",93.867405744117,0.0816599750086177,0.0756718333244606,0.0875582045571835,0.8,"median","qi"
"Adriatic",95.6777769536921,0.0812875617936491,0.0751802316079044,0.0874353969065645,0.8,"median","qi"
"Adriatic",97.4881481632672,0.0808795853586722,0.074561561405562,0.0872258048402681,0.8,"median","qi"
"Adriatic",99.2985193728423,0.0805404838651384,0.0740492336062443,0.0870661568409484,0.8,"median","qi"
"Adriatic",101.108890582417,0.0801413558147146,0.0736015201610411,0.0869689201008847,0.8,"median","qi"
"Adriatic",102.919261791993,0.0798707516747623,0.0732202068885294,0.0867753652949018,0.8,"median","qi"
"Adriatic",104.729633001568,0.0796043526447097,0.0728262225048612,0.086564714192389,0.8,"median","qi"
"Adriatic",106.540004211143,0.0792673399601706,0.0724543811502711,0.0864689440335325,0.8,"median","qi"
"Adriatic",108.350375420718,0.0789479676932352,0.0720860024887762,0.0863740773273574,0.8,"median","qi"
"Adriatic",110.160746630293,0.0787250120881728,0.0717285417683029,0.0863541562538912,0.8,"median","qi"
"Adriatic",111.971117839868,0.0784504926995836,0.0713546717859704,0.0862021706333442,0.8,"median","qi"
"Adriatic",113.781489049443,0.078227015973062,0.0710435887749432,0.0860576048916544,0.8,"median","qi"
"Adriatic",115.591860259018,0.0779880594782601,0.0707051901559583,0.0859769569949043,0.8,"median","qi"
"Adriatic",117.402231468593,0.077750875582658,0.0704044319580855,0.0859226017520945,0.8,"median","qi"
"Adriatic",119.212602678169,0.0775183294297279,0.0701418623451109,0.0858041182216915,0.8,"median","qi"
"Adriatic",121.022973887744,0.0773314070615574,0.0698733744314384,0.085733134352527,0.8,"median","qi"
"Adriatic",122.833345097319,0.077209030725306,0.0696565734688204,0.0856685562082586,0.8,"median","qi"
"Adriatic",124.643716306894,0.0770517778383808,0.069399991323927,0.0856208768314045,0.8,"median","qi"
"Adriatic",126.454087516469,0.0768955809772903,0.069153594596176,0.08561880836498,0.8,"median","qi"
"Adriatic",128.264458726044,0.076728255855785,0.068930090351073,0.0855734457974927,0.8,"median","qi"
"Adriatic",130.074829935619,0.0766256186610659,0.0687270655309992,0.0855455580011976,0.8,"median","qi"
"Adriatic",131.885201145194,0.0764997782782542,0.0685767299039651,0.0854472208590972,0.8,"median","qi"
"Adriatic",133.695572354769,0.0764141393313174,0.0683924035132468,0.0854215443376476,0.8,"median","qi"
"Adriatic",135.505943564345,0.0762767113166629,0.0682233888877987,0.0854289304012321,0.8,"median","qi"
"Adriatic",137.31631477392,0.0761623095345718,0.0680098390306434,0.0853665779107639,0.8,"median","qi"
"Adriatic",139.126685983495,0.0760371051331851,0.0678096019763629,0.0853451922362025,0.8,"median","qi"
"Adriatic",140.93705719307,0.0759092407798833,0.0676736326008515,0.0853002963069917,0.8,"median","qi"
"Adriatic",142.747428402645,0.0758013967164637,0.0675414334817752,0.0851928798265219,0.8,"median","qi"
"Adriatic",144.55779961222,0.0756680313003256,0.0674034523690401,0.0851399803357411,0.8,"median","qi"
"Adriatic",146.368170821795,0.0755533042500043,0.0672283511861037,0.0850649997956084,0.8,"median","qi"
"Adriatic",148.17854203137,0.0754438281294394,0.0670612158542527,0.0849863467454092,0.8,"median","qi"
"Adriatic",149.988913240945,0.0753437396451174,0.0669647181595627,0.0849046818638226,0.8,"median","qi"
"Adriatic",151.799284450521,0.0752320850885275,0.0668573922403998,0.0848393193724038,0.8,"median","qi"
"Adriatic",153.609655660096,0.0751358836729985,0.066726565272642,0.0848217797137877,0.8,"median","qi"
"Adriatic",155.420026869671,0.0750162863924007,0.066590857426503,0.0847262363531219,0.8,"median","qi"
"Adriatic",157.230398079246,0.0749207312466456,0.0664835082312783,0.0846107126208528,0.8,"median","qi"
"Adriatic",159.040769288821,0.0748243726012929,0.0663384253011473,0.0845815155396736,0.8,"median","qi"
"Adriatic",160.851140498396,0.0747468794120482,0.0661876916294606,0.0844511030925762,0.8,"median","qi"
"Adriatic",162.661511707971,0.0746757130374274,0.0660862819387742,0.0843268085153963,0.8,"median","qi"
"Adriatic",164.471882917546,0.0746239518131245,0.0660233369046996,0.0842537670347535,0.8,"median","qi"
"Adriatic",166.282254127121,0.0745717084870067,0.0659583732002592,0.0841611535478081,0.8,"median","qi"
"Adriatic",168.092625336697,0.074514550306562,0.0659270954357037,0.0840865037234357,0.8,"median","qi"
"Adriatic",169.902996546272,0.0744726368352303,0.065890086106311,0.0840384673805863,0.8,"median","qi"
"Adriatic",171.713367755847,0.0744635260921918,0.0658808654877856,0.0839778648825485,0.8,"median","qi"
"Adriatic",173.523738965422,0.074431557535952,0.0658361229842241,0.0838825678455038,0.8,"median","qi"
"Adriatic",175.334110174997,0.0744263097395103,0.0658377844650715,0.0838454163754946,0.8,"median","qi"
"Adriatic",177.144481384572,0.0744351974880276,0.0658266080503905,0.0837909709417962,0.8,"median","qi"
"Adriatic",178.954852594147,0.0744624882057541,0.0658113706283046,0.083747136880662,0.8,"median","qi"
"Adriatic",180.765223803722,0.0744726770684631,0.0659214028138795,0.0837922336904594,0.8,"median","qi"
"Adriatic",182.575595013298,0.0744974213395532,0.0659623223950869,0.0837845231209053,0.8,"median","qi"
"Adriatic",184.385966222873,0.0745218579684735,0.065995583269319,0.0838826097215062,0.8,"median","qi"
