"Box","N_P","y","ymin","ymax",".width",".point",".interval"
"Adriatic",28.6940421994129,0.100483612035079,0.0815666884746297,0.120012352748515,0.8,"median","qi"
"Adriatic",30.504413408988,0.100821706537247,0.0825498696571281,0.119331825529824,0.8,"median","qi"
"Adriatic",32.3147846185631,0.101321354739076,0.0836356793766611,0.11884377617763,0.8,"median","qi"
"Adriatic",34.1251558281382,0.101798643349555,0.0847988812028672,0.11835370143052,0.8,"median","qi"
"Adriatic",35.9355270377133,0.102313768834615,0.0859128906783219,0.117893171961242,0.8,"median","qi"
"Adriatic",37.7458982472884,0.102781101909458,0.0866134348930801,0.117890904639127,0.8,"median","qi"
"Adriatic",39.5562694568635,0.103267491761414,0.0876967790675501,0.118069334526395,0.8,"median","qi"
"Adriatic",41.3666406664387,0.103956577169752,0.0885005149520186,0.118239341793468,0.8,"median","qi"
"Adriatic",43.1770118760138,0.104625344371461,0.0894376948840914,0.118695949526413,0.8,"median","qi"
"Adriatic",44.9873830855889,0.105350393237812,0.0903829979712344,0.11916916019021,0.8,"median","qi"
"Adriatic",46.797754295164,0.106111235192081,0.0911729960584803,0.119646699239927,0.8,"median","qi"
"Adriatic",48.6081255047391,0.107125218035476,0.0922922574197827,0.120134310742728,0.8,"median","qi"
"Adriatic",50.4184967143142,0.108068100167344,0.0933865503950914,0.121012312753312,0.8,"median","qi"
"Adriatic",52.2288679238893,0.109144305414972,0.0945470086261335,0.121934605569428,0.8,"median","qi"
"Adriatic",54.0392391334644,0.110194451694378,0.0956876303981227,0.122836274756426,0.8,"median","qi"
"Adriatic",55.8496103430396,0.111316141476366,0.0969258774892483,0.123606499045102,0.8,"median","qi"
"Adriatic",57.6599815526147,0.11248010293904,0.0981862779391697,0.12460758191984,0.8,"median","qi"
"Adriatic",59.4703527621898,0.113744875800218,0.0995686268999251,0.125853709883143,0.8,"median","qi"
"Adriatic",61.2807239717649,0.114934695611035,0.10099905509009,0.126973614553115,0.8,"median","qi"
"Adriatic",63.09109518134,0.116068168701714,0.102211577189883,0.128133966114254,0.8,"median","qi"
"Adriatic",64.9014663909151,0.117235360199854,0.103562092329153,0.129359410361922,0.8,"median","qi"
"Adriatic",66.7118376004902,0.118399096220384,0.104906518972443,0.130483319466168,0.8,"median","qi"
"Adriatic",68.5222088100654,0.119636299667811,0.10621917976989,0.13165306489657,0.8,"median","qi"
"Adriatic",70.3325800196405,0.120818916834581,0.107259981577368,0.132911544112546,0.8,"median","qi"
"Adriatic",72.1429512292156,0.121902707408075,0.108179628730329,0.13400680866158,0.8,"median","qi"
"Adriatic",73.9533224387907,0.122887799615707,0.109391155186451,0.135055470252622,0.8,"median","qi"
"Adriatic",75.7636936483658,0.123850623448276,0.110339087912376,0.136071118581002,0.8,"median","qi"
"Adriatic",77.5740648579409,0.124740450328335,0.111270660985345,0.136932797369215,0.8,"median","qi"
"Adriatic",79.384436067516,0.125432321923304,0.112176649581086,0.137635057723403,0.8,"median","qi"
"Adriatic",81.1948072770912,0.126072917354194,0.112912904279146,0.138387508427181,0.8,"median","qi"
"Adriatic",83.0051784866663,0.1265992891476,0.113520568407583,0.138897083504035,0.8,"median","qi"
"Adriatic",84.8155496962414,0.127101902424619,0.114055616195427,0.139333551200522,0.8,"median","qi"
"Adriatic",86.6259209058165,0.127557308340021,0.114589660584254,0.139676579908901,0.8,"median","qi"
"Adriatic",88.4362921153916,0.127956852645728,0.115084681682872,0.139872988165491,0.8,"median","qi"
"Adriatic",90.2466633249667,0.128189466418201,0.115560074878306,0.139963254118703,0.8,"median","qi"
"Adriatic",92.0570345345418,0.128224936576762,0.115938719974098,0.139857356748423,0.8,"median","qi"
"Adriatic",93.867405744117,0.128243259673343,0.116143814076249,0.139700818633809,0.8,"median","qi"
"Adriatic",95.6777769536921,0.128079414529761,0.116322727925799,0.139382457607245,0.8,"median","qi"
"Adriatic",97.4881481632672,0.127808383510912,0.116240084598488,0.138986993602849,0.8,"median","qi"
"Adriatic",99.2985193728423,0.127415414383705,0.116104672736963,0.13845445352315,0.8,"median","qi"
"Adriatic",101.108890582417,0.127111502373667,0.115961139761948,0.137820701093051,0.8,"median","qi"
"Adriatic",102.919261791993,0.126765647476453,0.115787897759488,0.137230884310556,0.8,"median","qi"
"Adriatic",104.729633001568,0.1263034573329,0.11554561855061,0.136579814177724,0.8,"median","qi"
"Adriatic",106.540004211143,0.125781179460141,0.114999330688321,0.13585107487146,0.8,"median","qi"
"Adriatic",108.350375420718,0.125121422372805,0.114464084472131,0.135026439391268,0.8,"median","qi"
"Adriatic",110.160746630293,0.124568976231122,0.114064559982585,0.134323047647378,0.8,"median","qi"
"Adriatic",111.971117839868,0.123973274718597,0.113699578691534,0.133543899409457,0.8,"median","qi"
"Adriatic",113.781489049443,0.123328302171369,0.113120134075798,0.132805144297545,0.8,"median","qi"
"Adriatic",115.591860259018,0.122640280067676,0.112467825975198,0.132019804364627,0.8,"median","qi"
"Adriatic",117.402231468593,0.121931095570488,0.111917141024986,0.131219766430632,0.8,"median","qi"
"Adriatic",119.212602678169,0.121267560189138,0.111420278569725,0.130445386615939,0.8,"median","qi"
"Adriatic",121.022973887744,0.120646974753806,0.11081943389983,0.129887404944314,0.8,"median","qi"
"Adriatic",122.833345097319,0.119951796955177,0.110330102685478,0.129232588192594,0.8,"median","qi"
"Adriatic",124.643716306894,0.119309471703256,0.109770606869939,0.128430277019594,0.8,"median","qi"
"Adriatic",126.454087516469,0.118813017320821,0.109232839710574,0.127749983850272,0.8,"median","qi"
