"Box","SST","y","ymin","ymax",".width",".point",".interval"
"Adriatic",13.5982199775819,0.148570513146692,0.131678284769555,0.166831694724647,0.8,"median","qi"
"Adriatic",13.6657990996585,0.142851337397365,0.126522219220045,0.160307108616764,0.8,"median","qi"
"Adriatic",13.7333782217351,0.137434246455145,0.122040767122352,0.153684590646302,0.8,"median","qi"
"Adriatic",13.8009573438117,0.132066406120022,0.117525116849117,0.147419291335021,0.8,"median","qi"
"Adriatic",13.8685364658883,0.126837632309754,0.113449039548889,0.141494712907768,0.8,"median","qi"
"Adriatic",13.9361155879649,0.122031322625252,0.10888897305262,0.135695931132115,0.8,"median","qi"
"Adriatic",14.0036947100415,0.117240739522223,0.104960760873864,0.130315693052947,0.8,"median","qi"
"Adriatic",14.0712738321181,0.112898952454309,0.101124093037486,0.125215442927159,0.8,"median","qi"
"Adriatic",14.1388529541947,0.108681789388889,0.0974345945931035,0.12058532178569,0.8,"median","qi"
"Adriatic",14.2064320762713,0.104809221889423,0.0940863200231769,0.116359002891284,0.8,"median","qi"
"Adriatic",14.274011198348,0.10122561684306,0.0909280099186666,0.112469200663662,0.8,"median","qi"
"Adriatic",14.3415903204246,0.0980168639753886,0.0879021579368831,0.108775935903628,0.8,"median","qi"
"Adriatic",14.4091694425012,0.0949823449682939,0.0851836527536903,0.105516390843266,0.8,"median","qi"
"Adriatic",14.4767485645778,0.0921845291247403,0.0827386334347395,0.102529000774116,0.8,"median","qi"
"Adriatic",14.5443276866544,0.0897062108623055,0.0806377883295087,0.0997517340517135,0.8,"median","qi"
"Adriatic",14.611906808731,0.0875113961067752,0.0786389555918606,0.0972385346400715,0.8,"median","qi"
"Adriatic",14.6794859308076,0.0857727515826178,0.0770799999893821,0.0950963901056595,0.8,"median","qi"
"Adriatic",14.7470650528842,0.0841086767270847,0.0755687005700629,0.0934117759110205,0.8,"median","qi"
"Adriatic",14.8146441749608,0.0828297901687993,0.0743170022548213,0.0919900510843949,0.8,"median","qi"
"Adriatic",14.8822232970374,0.0817065278515383,0.073403829963844,0.0907397478823053,0.8,"median","qi"
"Adriatic",14.949802419114,0.0808235994375331,0.0727250385345225,0.089767159382846,0.8,"median","qi"
"Adriatic",15.0173815411906,0.0803653564332039,0.0723403318543618,0.0889773788387655,0.8,"median","qi"
"Adriatic",15.0849606632672,0.0800321184211191,0.0721037752342258,0.0884164670011721,0.8,"median","qi"
"Adriatic",15.1525397853439,0.0798857360169172,0.0720407985401023,0.0882258070096278,0.8,"median","qi"
"Adriatic",15.2201189074205,0.0799497588103332,0.0722364454311948,0.0883142584217326,0.8,"median","qi"
"Adriatic",15.2876980294971,0.0801868431264716,0.0726364347435527,0.088632956168496,0.8,"median","qi"
"Adriatic",15.3552771515737,0.08056823867016,0.0730854498568875,0.0890576789175145,0.8,"median","qi"
"Adriatic",15.4228562736503,0.0811103318264925,0.0737204423389174,0.0896610955003104,0.8,"median","qi"
"Adriatic",15.4904353957269,0.0818394840843643,0.0744140427168336,0.0903222291338961,0.8,"median","qi"
"Adriatic",15.5580145178035,0.0826912755612195,0.0753117683066,0.0913832083685188,0.8,"median","qi"
"Adriatic",15.6255936398801,0.0837381114575722,0.0763202029024716,0.0925176152987998,0.8,"median","qi"
"Adriatic",15.6931727619567,0.0849260939010863,0.0773354417222733,0.0934540223039677,0.8,"median","qi"
"Adriatic",15.7607518840333,0.0860843749950527,0.0786025110946156,0.0946127188219197,0.8,"median","qi"
"Adriatic",15.8283310061099,0.0873971221727741,0.0798048070986086,0.0957715654846532,0.8,"median","qi"
"Adriatic",15.8959101281865,0.0887541845073094,0.0810627290179048,0.0971632531947305,0.8,"median","qi"
"Adriatic",15.9634892502631,0.0901110777255654,0.0823932595181256,0.0985713306501551,0.8,"median","qi"
"Adriatic",16.0310683723398,0.0915698611106917,0.0837251555957851,0.100050930255915,0.8,"median","qi"
"Adriatic",16.0986474944164,0.0930484359045307,0.0851842533935156,0.101569245518771,0.8,"median","qi"
"Adriatic",16.166226616493,0.0945941291620033,0.0866593869004487,0.103025570427099,0.8,"median","qi"
"Adriatic",16.2338057385696,0.0961705099868606,0.0880901511603997,0.104490829060407,0.8,"median","qi"
"Adriatic",16.3013848606462,0.0977516681182788,0.0895541167673037,0.106132869796016,0.8,"median","qi"
"Adriatic",16.3689639827228,0.099312118384453,0.0910169283491814,0.107671272192612,0.8,"median","qi"
"Adriatic",16.4365431047994,0.100827995256104,0.0924740201760382,0.109226037996451,0.8,"median","qi"
"Adriatic",16.504122226876,0.102392839047395,0.0941049524198273,0.110800395387021,0.8,"median","qi"
"Adriatic",16.5717013489526,0.103894273093689,0.09551071623313,0.112197258929587,0.8,"median","qi"
"Adriatic",16.6392804710292,0.105339901522027,0.096783456623151,0.113730987654635,0.8,"median","qi"
"Adriatic",16.7068595931058,0.106623914825949,0.0981488631717022,0.115189704759961,0.8,"median","qi"
"Adriatic",16.7744387151824,0.107943687091376,0.09945690289519,0.116567915973333,0.8,"median","qi"
"Adriatic",16.842017837259,0.109269543829852,0.100776134839685,0.117937536577443,0.8,"median","qi"
"Adriatic",16.9095969593356,0.110561006924163,0.102032875338268,0.119203129212732,0.8,"median","qi"
"Adriatic",16.9771760814123,0.111789750303765,0.103099717371723,0.120485110766974,0.8,"median","qi"
"Adriatic",17.0447552034889,0.112914497964677,0.104182486865247,0.121583159751222,0.8,"median","qi"
"Adriatic",17.1123343255655,0.113964638946483,0.105156654432017,0.12258654713637,0.8,"median","qi"
