"Box","MLD","y","ymin","ymax",".width",".point",".interval"
"Adriatic",11.8979004908362,0.0794286562596617,0.0740655267838327,0.0860249278444346,0.8,"median","qi"
"Adriatic",13.5935931582615,0.0818283021286309,0.0768508461846101,0.0878649454897085,0.8,"median","qi"
"Adriatic",15.2892858256867,0.0842458088722425,0.0795036145825027,0.0898304132011493,0.8,"median","qi"
"Adriatic",16.984978493112,0.0865358098913262,0.0819447806552889,0.0918247129986829,0.8,"median","qi"
"Adriatic",18.6806711605372,0.0887042224921039,0.0840890967976392,0.0937432146782408,0.8,"median","qi"
"Adriatic",20.3763638279625,0.0906331823279183,0.085947639657991,0.0955474801337715,0.8,"median","qi"
"Adriatic",22.0720564953877,0.0922966057439266,0.087493011548097,0.097189173621065,0.8,"median","qi"
"Adriatic",23.767749162813,0.0936657714699191,0.088714092715779,0.0985748670780641,0.8,"median","qi"
"Adriatic",25.4634418302382,0.0947180645568814,0.0895968967479348,0.0996739270802562,0.8,"median","qi"
"Adriatic",27.1591344976635,0.0954734088793777,0.0901287614337565,0.100490528236668,0.8,"median","qi"
"Adriatic",28.8548271650888,0.0958962415875259,0.0903700087944027,0.100999864479688,0.8,"median","qi"
"Adriatic",30.550519832514,0.0959768017892436,0.0902948997518954,0.101266516133826,0.8,"median","qi"
"Adriatic",32.2462124999393,0.0957795369372957,0.0899535745387783,0.101274474747384,0.8,"median","qi"
"Adriatic",33.9419051673645,0.0952738176795632,0.0893196496235569,0.101047361877604,0.8,"median","qi"
"Adriatic",35.6375978347898,0.0945755804663253,0.0884372554312188,0.100608621760541,0.8,"median","qi"
"Adriatic",37.333290502215,0.0936527894010801,0.0873485073157582,0.100010935283663,0.8,"median","qi"
"Adriatic",39.0289831696403,0.0925585795753615,0.0860649032998223,0.099323359935444,0.8,"median","qi"
"Adriatic",40.7246758370655,0.0913319483135214,0.0846566721243649,0.0985305069037341,0.8,"median","qi"
"Adriatic",42.4203685044908,0.0900356458889586,0.083128728869315,0.0976611031373753,0.8,"median","qi"
"Adriatic",44.116061171916,0.0887359121582854,0.0815252255013781,0.0967233583131038,0.8,"median","qi"
"Adriatic",45.8117538393413,0.0873380210500019,0.0799105521355627,0.09575189399034,0.8,"median","qi"
"Adriatic",47.5074465067665,0.0859960329955256,0.078297486686195,0.0947895851823074,0.8,"median","qi"
"Adriatic",49.2031391741918,0.0846957631942074,0.076701485812714,0.0938080091159532,0.8,"median","qi"
"Adriatic",50.898831841617,0.0834653333167825,0.0752044987625284,0.0928294739952662,0.8,"median","qi"
"Adriatic",52.5945245090423,0.0823170662745346,0.0738144745723942,0.0919227629414787,0.8,"median","qi"
"Adriatic",54.2902171764675,0.0812293913386582,0.0725749098788663,0.0910644303055466,0.8,"median","qi"
